t	nsat	m	n	chi	lambda	k	timebudget
583150	802	846	160	0.1	50	2	5
709400	800	846	160	0.1	50	2	5
841600	801	846	160	0.1	50	2	5
828150	802	846	160	0.1	50	2	5
785650	801	846	160	0.1	50	2	5
776900	801	846	160	0.1	50	2	5
791600	801	846	160	0.1	50	2	5
799650	802	846	160	0.1	50	2	5
768300	801	846	160	0.1	50	2	5
723850	801	846	160	0.1	50	2	5
486700	801	846	160	0.1	50	2	5
444650	802	846	160	0.1	50	2	5
772550	802	846	160	0.1	50	2	5
836650	802	846	160	0.1	50	2	5
805550	801	846	160	0.1	50	2	5
817300	802	846	160	0.1	50	2	5
778900	801	846	160	0.1	50	2	5
628800	801	846	160	0.1	50	2	5
751850	801	846	160	0.1	50	2	5
822700	800	846	160	0.1	50	2	5
826000	801	846	160	0.1	50	2	5
815900	802	846	160	0.1	50	2	5
843750	802	846	160	0.1	50	2	5
788650	800	846	160	0.1	50	2	5
751350	801	846	160	0.1	50	2	5
733850	801	846	160	0.1	50	2	5
808850	801	846	160	0.1	50	2	5
775450	802	846	160	0.1	50	2	5
839150	802	846	160	0.1	50	2	5
827050	800	846	160	0.1	50	2	5
739250	800	846	160	0.1	50	2	5
817200	801	846	160	0.1	50	2	5
832500	801	846	160	0.1	50	2	5
801950	802	846	160	0.1	50	2	5
828900	802	846	160	0.1	50	2	5
852650	802	846	160	0.1	50	2	5
642900	802	846	160	0.1	50	2	5
742900	800	846	160	0.1	50	2	5
763850	802	846	160	0.1	50	2	5
804750	801	846	160	0.1	50	2	5
720900	801	846	160	0.1	50	2	5
740000	801	846	160	0.1	50	2	5
750700	802	846	160	0.1	50	2	5
685800	802	846	160	0.1	50	2	5
754000	801	846	160	0.1	50	2	5
813550	802	846	160	0.1	50	2	5
769700	801	846	160	0.1	50	2	5
818800	801	846	160	0.1	50	2	5
809950	802	846	160	0.1	50	2	5
747550	801	846	160	0.1	50	2	5
814550	801	846	160	0.1	50	2	5
811900	801	846	160	0.1	50	2	5
772650	801	846	160	0.1	50	2	5
833800	801	846	160	0.1	50	2	5
817700	802	846	160	0.1	50	2	5
818500	801	846	160	0.1	50	2	5
823950	801	846	160	0.1	50	2	5
836650	801	846	160	0.1	50	2	5
606450	801	846	160	0.1	50	2	5
509200	801	846	160	0.1	50	2	5
776700	801	846	160	0.1	50	2	5
812850	802	846	160	0.1	50	2	5
834600	802	846	160	0.1	50	2	5
735250	801	846	160	0.1	50	2	5
767050	801	846	160	0.1	50	2	5
763250	802	846	160	0.1	50	2	5
774150	801	846	160	0.1	50	2	5
848050	802	846	160	0.1	50	2	5
741950	801	846	160	0.1	50	2	5
526900	802	846	160	0.1	50	2	5
784900	801	846	160	0.1	50	2	5
454050	801	846	160	0.1	50	2	5
733850	799	846	160	0.1	50	2	5
785100	801	846	160	0.1	50	2	5
798000	801	846	160	0.1	50	2	5
763300	800	846	160	0.1	50	2	5
869100	802	846	160	0.1	50	2	5
805400	801	846	160	0.1	50	2	5
800450	801	846	160	0.1	50	2	5
708050	801	846	160	0.1	50	2	5
741350	800	846	160	0.1	50	2	5
799100	802	846	160	0.1	50	2	5
708800	801	846	160	0.1	50	2	5
660000	800	846	160	0.1	50	2	5
789500	802	846	160	0.1	50	2	5
765450	801	846	160	0.1	50	2	5
809900	799	846	160	0.1	50	2	5
812350	801	846	160	0.1	50	2	5
722850	801	846	160	0.1	50	2	5
792050	802	846	160	0.1	50	2	5
625850	800	846	160	0.1	50	2	5
613400	801	846	160	0.1	50	2	5
