t	nsat	m	n	chi	lambda	k
735800	802	846	160	0.125	50	2
825700	802	846	160	0.125	50	2
821450	801	846	160	0.125	50	2
865600	801	846	160	0.125	50	2
863900	802	846	160	0.125	50	2
830450	801	846	160	0.125	50	2
830250	801	846	160	0.125	50	2
839500	801	846	160	0.125	50	2
796600	801	846	160	0.125	50	2
816800	800	846	160	0.125	50	2
834450	801	846	160	0.125	50	2
848550	801	846	160	0.125	50	2
833800	801	846	160	0.125	50	2
795500	801	846	160	0.125	50	2
850650	802	846	160	0.125	50	2
846100	800	846	160	0.125	50	2
869000	801	846	160	0.125	50	2
576850	802	846	160	0.125	50	2
657900	802	846	160	0.125	50	2
755900	801	846	160	0.125	50	2
456900	801	846	160	0.125	50	2
676400	800	846	160	0.125	50	2
515650	802	846	160	0.125	50	2
514850	801	846	160	0.125	50	2
520000	802	846	160	0.125	50	2
366550	801	846	160	0.125	50	2
428050	801	846	160	0.125	50	2
465550	802	846	160	0.125	50	2
671050	802	846	160	0.125	50	2
540650	801	846	160	0.125	50	2
506100	800	846	160	0.125	50	2
683550	802	846	160	0.125	50	2
595950	802	846	160	0.125	50	2
586050	801	846	160	0.125	50	2
709050	801	846	160	0.125	50	2
851300	802	846	160	0.125	50	2
789600	801	846	160	0.125	50	2
811450	801	846	160	0.125	50	2
664000	802	846	160	0.125	50	2
809550	801	846	160	0.125	50	2
862850	802	846	160	0.125	50	2
821800	802	846	160	0.125	50	2
768300	802	846	160	0.125	50	2
737600	802	846	160	0.125	50	2
659150	801	846	160	0.125	50	2
533750	802	846	160	0.125	50	2
758650	802	846	160	0.125	50	2
851800	801	846	160	0.125	50	2
802050	802	846	160	0.125	50	2
655450	801	846	160	0.125	50	2
231450	801	846	160	0.125	50	2
552250	802	846	160	0.125	50	2
383600	802	846	160	0.125	50	2
341800	801	846	160	0.125	50	2
522000	802	846	160	0.125	50	2
481700	802	846	160	0.125	50	2
609300	800	846	160	0.125	50	2
436650	801	846	160	0.125	50	2
514650	801	846	160	0.125	50	2
599650	802	846	160	0.125	50	2
808550	802	846	160	0.125	50	2
797600	802	846	160	0.125	50	2
715100	797	846	160	0.125	50	2
644700	801	846	160	0.125	50	2
703800	799	846	160	0.125	50	2
659850	802	846	160	0.125	50	2
520450	801	846	160	0.125	50	2
404950	802	846	160	0.125	50	2
713850	802	846	160	0.125	50	2
784700	802	846	160	0.125	50	2
717950	802	846	160	0.125	50	2
701550	800	846	160	0.125	50	2
742000	801	846	160	0.125	50	2
780950	802	846	160	0.125	50	2
531550	800	846	160	0.125	50	2
