t	nsat	m	n	chi	lambda	k	timebudget
200940	802	846	160	1.0	10	2	5
200910	802	846	160	1.0	10	2	5
200670	802	846	160	1.0	10	2	5
202990	802	846	160	1.0	10	2	5
196590	802	846	160	1.0	10	2	5
173280	802	846	160	1.0	10	2	5
177410	802	846	160	1.0	10	2	5
187480	802	846	160	1.0	10	2	5
188800	802	846	160	1.0	10	2	5
189170	802	846	160	1.0	10	2	5
190700	802	846	160	1.0	10	2	5
160520	802	846	160	1.0	10	2	5
124440	802	846	160	1.0	10	2	5
199130	801	846	160	1.0	10	2	5
197820	801	846	160	1.0	10	2	5
198270	802	846	160	1.0	10	2	5
197440	802	846	160	1.0	10	2	5
182220	802	846	160	1.0	10	2	5
187490	802	846	160	1.0	10	2	5
175560	802	846	160	1.0	10	2	5
178060	802	846	160	1.0	10	2	5
190140	802	846	160	1.0	10	2	5
192270	802	846	160	1.0	10	2	5
166940	802	846	160	1.0	10	2	5
195450	802	846	160	1.0	10	2	5
194590	802	846	160	1.0	10	2	5
201630	802	846	160	1.0	10	2	5
189450	802	846	160	1.0	10	2	5
196340	802	846	160	1.0	10	2	5
191430	802	846	160	1.0	10	2	5
200300	802	846	160	1.0	10	2	5
192710	802	846	160	1.0	10	2	5
182300	802	846	160	1.0	10	2	5
181890	802	846	160	1.0	10	2	5
192900	802	846	160	1.0	10	2	5
201810	802	846	160	1.0	10	2	5
202050	802	846	160	1.0	10	2	5
199470	802	846	160	1.0	10	2	5
200890	802	846	160	1.0	10	2	5
197170	802	846	160	1.0	10	2	5
186020	802	846	160	1.0	10	2	5
189750	802	846	160	1.0	10	2	5
197010	802	846	160	1.0	10	2	5
199090	802	846	160	1.0	10	2	5
186750	802	846	160	1.0	10	2	5
189780	802	846	160	1.0	10	2	5
166410	802	846	160	1.0	10	2	5
191470	802	846	160	1.0	10	2	5
207140	802	846	160	1.0	10	2	5
166720	802	846	160	1.0	10	2	5
171570	802	846	160	1.0	10	2	5
193590	802	846	160	1.0	10	2	5
198850	802	846	160	1.0	10	2	5
193010	802	846	160	1.0	10	2	5
201330	802	846	160	1.0	10	2	5
173650	802	846	160	1.0	10	2	5
180120	802	846	160	1.0	10	2	5
201810	802	846	160	1.0	10	2	5
194330	802	846	160	1.0	10	2	5
209300	802	846	160	1.0	10	2	5
207840	802	846	160	1.0	10	2	5
201500	802	846	160	1.0	10	2	5
189880	802	846	160	1.0	10	2	5
185350	802	846	160	1.0	10	2	5
207350	802	846	160	1.0	10	2	5
201240	802	846	160	1.0	10	2	5
196160	802	846	160	1.0	10	2	5
194790	802	846	160	1.0	10	2	5
167290	802	846	160	1.0	10	2	5
200430	802	846	160	1.0	10	2	5
195210	802	846	160	1.0	10	2	5
190320	802	846	160	1.0	10	2	5
200450	802	846	160	1.0	10	2	5
203350	802	846	160	1.0	10	2	5
198270	802	846	160	1.0	10	2	5
207690	802	846	160	1.0	10	2	5
207610	802	846	160	1.0	10	2	5
187880	802	846	160	1.0	10	2	5
203750	802	846	160	1.0	10	2	5
203450	802	846	160	1.0	10	2	5
193960	802	846	160	1.0	10	2	5
202900	802	846	160	1.0	10	2	5
195020	802	846	160	1.0	10	2	5
183950	802	846	160	1.0	10	2	5
196870	802	846	160	1.0	10	2	5
202430	802	846	160	1.0	10	2	5
197300	802	846	160	1.0	10	2	5
189870	802	846	160	1.0	10	2	5
189800	802	846	160	1.0	10	2	5
205290	802	846	160	1.0	10	2	5
192980	802	846	160	1.0	10	2	5
183770	802	846	160	1.0	10	2	5
185120	802	846	160	1.0	10	2	5
194060	802	846	160	1.0	10	2	5
187040	802	846	160	1.0	10	2	5
183070	802	846	160	1.0	10	2	5
162890	802	846	160	1.0	10	2	5
198580	802	846	160	1.0	10	2	5
203670	802	846	160	1.0	10	2	5
191930	802	846	160	1.0	10	2	5
164670	802	846	160	1.0	110	2	5
153230	802	846	160	1.0	110	2	5
165110	802	846	160	1.0	110	2	5
135740	802	846	160	1.0	110	2	5
154660	801	846	160	1.0	110	2	5
146850	801	846	160	1.0	110	2	5
157740	802	846	160	1.0	110	2	5
163240	802	846	160	1.0	110	2	5
152570	802	846	160	1.0	110	2	5
93610	802	846	160	1.0	110	2	5
105600	802	846	160	1.0	110	2	5
156200	802	846	160	1.0	110	2	5
168630	802	846	160	1.0	110	2	5
162690	802	846	160	1.0	110	2	5
170500	802	846	160	1.0	110	2	5
