t	nsat	m	n	chi	lambda	k	timebudget
200	229007	303473	68779	0.1	50	2	5
150	228570	303473	68779	0.1	50	2	5
200	228712	303473	68779	0.1	50	2	5
200	228618	303473	68779	0.1	50	2	5
200	228632	303473	68779	0.1	50	2	5
150	228303	303473	68779	0.1	50	2	5
150	228603	303473	68779	0.1	50	2	5
150	228719	303473	68779	0.1	50	2	5
200	228877	303473	68779	0.1	50	2	5
150	228691	303473	68779	0.1	50	2	5
200	228606	303473	68779	0.1	50	2	5
200	228872	303473	68779	0.1	50	2	5
200	228506	303473	68779	0.1	50	2	5
200	228916	303473	68779	0.1	50	2	5
200	228926	303473	68779	0.1	50	2	5
150	228523	303473	68779	0.1	50	2	5
200	228626	303473	68779	0.1	50	2	5
200	229063	303473	68779	0.1	50	2	5
200	228542	303473	68779	0.1	50	2	5
150	228698	303473	68779	0.1	50	2	5
200	228719	303473	68779	0.1	50	2	5
200	228894	303473	68779	0.1	50	2	5
150	228527	303473	68779	0.1	50	2	5
200	228754	303473	68779	0.1	50	2	5
200	228718	303473	68779	0.1	50	2	5
200	228945	303473	68779	0.1	50	2	5
200	228715	303473	68779	0.1	50	2	5
200	228652	303473	68779	0.1	50	2	5
200	228660	303473	68779	0.1	50	2	5
200	228977	303473	68779	0.1	50	2	5
150	228847	303473	68779	0.1	50	2	5
150	228480	303473	68779	0.1	50	2	5
200	228738	303473	68779	0.1	50	2	5
200	228643	303473	68779	0.1	50	2	5
200	228740	303473	68779	0.1	50	2	5
200	228639	303473	68779	0.1	50	2	5
200	228813	303473	68779	0.1	50	2	5
200	228542	303473	68779	0.1	50	2	5
200	228756	303473	68779	0.1	50	2	5
200	228910	303473	68779	0.1	50	2	5
200	228551	303473	68779	0.1	50	2	5
150	228786	303473	68779	0.1	50	2	5
200	228666	303473	68779	0.1	50	2	5
200	228467	303473	68779	0.1	50	2	5
200	228666	303473	68779	0.1	50	2	5
150	228748	303473	68779	0.1	50	2	5
150	228579	303473	68779	0.1	50	2	5
150	228831	303473	68779	0.1	50	2	5
200	228460	303473	68779	0.1	50	2	5
200	228687	303473	68779	0.1	50	2	5
200	228614	303473	68779	0.1	50	2	5
200	228552	303473	68779	0.1	50	2	5
150	228925	303473	68779	0.1	50	2	5
200	228640	303473	68779	0.1	50	2	5
200	228783	303473	68779	0.1	50	2	5
200	228805	303473	68779	0.1	50	2	5
200	228701	303473	68779	0.1	50	2	5
200	228900	303473	68779	0.1	50	2	5
200	228594	303473	68779	0.1	50	2	5
200	228743	303473	68779	0.1	50	2	5
200	229002	303473	68779	0.1	50	2	5
200	228385	303473	68779	0.1	50	2	5
150	228405	303473	68779	0.1	50	2	5
200	228632	303473	68779	0.1	50	2	5
200	228808	303473	68779	0.1	50	2	5
200	228452	303473	68779	0.1	50	2	5
150	228710	303473	68779	0.1	50	2	5
200	228729	303473	68779	0.1	50	2	5
200	228551	303473	68779	0.1	50	2	5
200	228585	303473	68779	0.1	50	2	5
200	228917	303473	68779	0.1	50	2	5
200	228754	303473	68779	0.1	50	2	5
150	228674	303473	68779	0.1	50	2	5
200	228525	303473	68779	0.1	50	2	5
150	228661	303473	68779	0.1	50	2	5
150	228619	303473	68779	0.1	50	2	5
200	228655	303473	68779	0.1	50	2	5
200	228594	303473	68779	0.1	50	2	5
200	228457	303473	68779	0.1	50	2	5
200	228816	303473	68779	0.1	50	2	5
200	228606	303473	68779	0.1	50	2	5
200	228567	303473	68779	0.1	50	2	5
200	228640	303473	68779	0.1	50	2	5
200	228893	303473	68779	0.1	50	2	5
200	228913	303473	68779	0.1	50	2	5
200	228792	303473	68779	0.1	50	2	5
150	228682	303473	68779	0.1	50	2	5
150	228654	303473	68779	0.1	50	2	5
200	228801	303473	68779	0.1	50	2	5
200	228650	303473	68779	0.1	50	2	5
200	228745	303473	68779	0.1	50	2	5
200	228840	303473	68779	0.1	50	2	5
150	228644	303473	68779	0.1	50	2	5
200	228796	303473	68779	0.1	50	2	5
150	228309	303473	68779	0.1	50	2	5
150	228721	303473	68779	0.1	50	2	5
200	228747	303473	68779	0.1	50	2	5
200	228737	303473	68779	0.1	50	2	5
200	228532	303473	68779	0.1	50	2	5
200	228934	303473	68779	0.1	50	2	5
200	228723	303473	68779	0.4	50	2	5
150	228437	303473	68779	0.4	50	2	5
150	228854	303473	68779	0.4	50	2	5
100	228343	303473	68779	0.4	50	2	5
150	228482	303473	68779	0.4	50	2	5
150	228377	303473	68779	0.4	50	2	5
150	228509	303473	68779	0.4	50	2	5
150	228796	303473	68779	0.4	50	2	5
150	228721	303473	68779	0.4	50	2	5
200	228629	303473	68779	0.4	50	2	5
200	228647	303473	68779	0.4	50	2	5
200	228753	303473	68779	0.4	50	2	5
200	228671	303473	68779	0.4	50	2	5
150	228612	303473	68779	0.4	50	2	5
150	228791	303473	68779	0.4	50	2	5
150	228548	303473	68779	0.4	50	2	5
200	228903	303473	68779	0.4	50	2	5
200	228796	303473	68779	0.4	50	2	5
200	228877	303473	68779	0.4	50	2	5
150	228880	303473	68779	0.4	50	2	5
200	228710	303473	68779	0.4	50	2	5
200	228692	303473	68779	0.4	50	2	5
150	228861	303473	68779	0.4	50	2	5
200	228689	303473	68779	0.4	50	2	5
150	228536	303473	68779	0.4	50	2	5
150	228585	303473	68779	0.4	50	2	5
200	228648	303473	68779	0.4	50	2	5
200	228699	303473	68779	0.4	50	2	5
150	228738	303473	68779	0.4	50	2	5
100	228539	303473	68779	0.4	50	2	5
200	228732	303473	68779	0.4	50	2	5
150	228891	303473	68779	0.4	50	2	5
150	228746	303473	68779	0.4	50	2	5
200	228614	303473	68779	0.4	50	2	5
200	228592	303473	68779	0.4	50	2	5
200	228626	303473	68779	0.4	50	2	5
150	228727	303473	68779	0.4	50	2	5
200	228958	303473	68779	0.4	50	2	5
200	228691	303473	68779	0.4	50	2	5
200	228888	303473	68779	0.4	50	2	5
200	228603	303473	68779	0.4	50	2	5
200	228683	303473	68779	0.4	50	2	5
200	228847	303473	68779	0.4	50	2	5
200	228851	303473	68779	0.4	50	2	5
150	228653	303473	68779	0.4	50	2	5
150	228605	303473	68779	0.4	50	2	5
150	228543	303473	68779	0.4	50	2	5
150	228725	303473	68779	0.4	50	2	5
200	228542	303473	68779	0.4	50	2	5
150	228841	303473	68779	0.4	50	2	5
200	228836	303473	68779	0.4	50	2	5
200	228927	303473	68779	0.4	50	2	5
200	228693	303473	68779	0.4	50	2	5
150	228452	303473	68779	0.4	50	2	5
150	228754	303473	68779	0.4	50	2	5
150	228612	303473	68779	0.4	50	2	5
200	228728	303473	68779	0.4	50	2	5
200	228748	303473	68779	0.4	50	2	5
200	228754	303473	68779	0.4	50	2	5
200	228834	303473	68779	0.4	50	2	5
200	228789	303473	68779	0.4	50	2	5
200	228808	303473	68779	0.4	50	2	5
150	228526	303473	68779	0.4	50	2	5
200	228663	303473	68779	0.4	50	2	5
200	228596	303473	68779	0.4	50	2	5
200	228764	303473	68779	0.4	50	2	5
200	229128	303473	68779	0.4	50	2	5
200	229009	303473	68779	0.4	50	2	5
150	228515	303473	68779	0.4	50	2	5
200	228636	303473	68779	0.4	50	2	5
200	228773	303473	68779	0.4	50	2	5
150	228531	303473	68779	0.4	50	2	5
150	228442	303473	68779	0.4	50	2	5
100	228386	303473	68779	0.4	50	2	5
