t	nsat	m	n	chi	lambda	k	timebudget
230	228008	303473	68779	1.0	10	2	5
240	229092	303473	68779	1.0	10	2	5
220	228699	303473	68779	1.0	10	2	5
210	228876	303473	68779	1.0	10	2	5
210	229014	303473	68779	1.0	10	2	5
210	228859	303473	68779	1.0	10	2	5
170	229025	303473	68779	1.0	10	2	5
170	228611	303473	68779	1.0	10	2	5
210	228889	303473	68779	1.0	10	2	5
220	228519	303473	68779	1.0	10	2	5
200	228882	303473	68779	1.0	10	2	5
200	229233	303473	68779	1.0	10	2	5
180	229258	303473	68779	1.0	10	2	5
170	228931	303473	68779	1.0	10	2	5
210	229313	303473	68779	1.0	10	2	5
220	229321	303473	68779	1.0	10	2	5
210	228538	303473	68779	1.0	10	2	5
220	228960	303473	68779	1.0	10	2	5
210	228986	303473	68779	1.0	10	2	5
220	229119	303473	68779	1.0	10	2	5
220	229399	303473	68779	1.0	10	2	5
230	228802	303473	68779	1.0	10	2	5
230	229131	303473	68779	1.0	10	2	5
220	228980	303473	68779	1.0	10	2	5
210	228964	303473	68779	1.0	10	2	5
210	228992	303473	68779	1.0	10	2	5
210	229283	303473	68779	1.0	10	2	5
210	228554	303473	68779	1.0	10	2	5
220	229201	303473	68779	1.0	10	2	5
210	228869	303473	68779	1.0	10	2	5
200	229171	303473	68779	1.0	10	2	5
220	229010	303473	68779	1.0	10	2	5
210	228625	303473	68779	1.0	10	2	5
190	228847	303473	68779	1.0	10	2	5
210	229090	303473	68779	1.0	10	2	5
230	229016	303473	68779	1.0	10	2	5
210	229064	303473	68779	1.0	10	2	5
230	229060	303473	68779	1.0	10	2	5
210	229372	303473	68779	1.0	10	2	5
200	228592	303473	68779	1.0	10	2	5
220	229153	303473	68779	1.0	10	2	5
210	228786	303473	68779	1.0	10	2	5
200	228591	303473	68779	1.0	10	2	5
220	229203	303473	68779	1.0	10	2	5
210	228782	303473	68779	1.0	10	2	5
220	228755	303473	68779	1.0	10	2	5
210	229022	303473	68779	1.0	10	2	5
210	228974	303473	68779	1.0	10	2	5
220	228377	303473	68779	1.0	10	2	5
210	228844	303473	68779	1.0	10	2	5
220	228918	303473	68779	1.0	10	2	5
220	228861	303473	68779	1.0	10	2	5
210	228698	303473	68779	1.0	10	2	5
220	229135	303473	68779	1.0	10	2	5
210	229060	303473	68779	1.0	10	2	5
210	229169	303473	68779	1.0	10	2	5
210	229422	303473	68779	1.0	10	2	5
210	228880	303473	68779	1.0	10	2	5
220	228969	303473	68779	1.0	10	2	5
220	229138	303473	68779	1.0	10	2	5
230	229005	303473	68779	1.0	10	2	5
210	229391	303473	68779	1.0	10	2	5
190	228798	303473	68779	1.0	10	2	5
220	229210	303473	68779	1.0	10	2	5
230	228775	303473	68779	1.0	10	2	5
210	228962	303473	68779	1.0	10	2	5
220	229209	303473	68779	1.0	10	2	5
220	229035	303473	68779	1.0	10	2	5
210	228756	303473	68779	1.0	10	2	5
210	228442	303473	68779	1.0	10	2	5
220	228853	303473	68779	1.0	10	2	5
210	228901	303473	68779	1.0	10	2	5
170	228913	303473	68779	1.0	10	2	5
200	229152	303473	68779	1.0	10	2	5
210	228963	303473	68779	1.0	10	2	5
240	228867	303473	68779	1.0	10	2	5
210	228658	303473	68779	1.0	10	2	5
220	228796	303473	68779	1.0	10	2	5
200	228514	303473	68779	1.0	10	2	5
200	229223	303473	68779	1.0	10	2	5
220	229146	303473	68779	1.0	10	2	5
220	229117	303473	68779	1.0	10	2	5
200	228584	303473	68779	1.0	10	2	5
230	229656	303473	68779	1.0	10	2	5
230	228125	303473	68779	1.0	10	2	5
210	229315	303473	68779	1.0	10	2	5
220	229093	303473	68779	1.0	10	2	5
210	228995	303473	68779	1.0	10	2	5
190	228870	303473	68779	1.0	10	2	5
220	229093	303473	68779	1.0	10	2	5
220	228378	303473	68779	1.0	10	2	5
240	228766	303473	68779	1.0	10	2	5
230	228971	303473	68779	1.0	10	2	5
170	228395	303473	68779	1.0	10	2	5
160	228864	303473	68779	1.0	10	2	5
210	228800	303473	68779	1.0	10	2	5
220	228771	303473	68779	1.0	10	2	5
240	228996	303473	68779	1.0	10	2	5
230	228819	303473	68779	1.0	10	2	5
230	229093	303473	68779	1.0	10	2	5
110	228502	303473	68779	1.0	110	2	5
110	228353	303473	68779	1.0	110	2	5
110	228642	303473	68779	1.0	110	2	5
220	228614	303473	68779	1.0	110	2	5
220	228333	303473	68779	1.0	110	2	5
220	228545	303473	68779	1.0	110	2	5
110	228581	303473	68779	1.0	110	2	5
110	228615	303473	68779	1.0	110	2	5
110	228398	303473	68779	1.0	110	2	5
220	228584	303473	68779	1.0	110	2	5
220	228357	303473	68779	1.0	110	2	5
220	228423	303473	68779	1.0	110	2	5
110	228266	303473	68779	1.0	110	2	5
220	228601	303473	68779	1.0	110	2	5
110	228386	303473	68779	1.0	110	2	5
110	228303	303473	68779	1.0	110	2	5
110	228507	303473	68779	1.0	110	2	5
110	228540	303473	68779	1.0	110	2	5
110	228305	303473	68779	1.0	110	2	5
110	228345	303473	68779	1.0	110	2	5
220	228622	303473	68779	1.0	110	2	5
110	228424	303473	68779	1.0	110	2	5
220	228470	303473	68779	1.0	110	2	5
110	228637	303473	68779	1.0	110	2	5
110	228175	303473	68779	1.0	110	2	5
220	228538	303473	68779	1.0	110	2	5
220	228441	303473	68779	1.0	110	2	5
220	228455	303473	68779	1.0	110	2	5
220	228863	303473	68779	1.0	110	2	5
220	228672	303473	68779	1.0	110	2	5
220	228303	303473	68779	1.0	110	2	5
220	228699	303473	68779	1.0	110	2	5
110	228281	303473	68779	1.0	110	2	5
110	228357	303473	68779	1.0	110	2	5
220	228409	303473	68779	1.0	110	2	5
220	228491	303473	68779	1.0	110	2	5
220	228471	303473	68779	1.0	110	2	5
220	228228	303473	68779	1.0	110	2	5
220	228488	303473	68779	1.0	110	2	5
220	228434	303473	68779	1.0	110	2	5
220	228465	303473	68779	1.0	110	2	5
220	228888	303473	68779	1.0	110	2	5
220	228453	303473	68779	1.0	110	2	5
220	228370	303473	68779	1.0	110	2	5
220	228659	303473	68779	1.0	110	2	5
220	228248	303473	68779	1.0	110	2	5
220	228465	303473	68779	1.0	110	2	5
220	228585	303473	68779	1.0	110	2	5
110	228561	303473	68779	1.0	110	2	5
220	228431	303473	68779	1.0	110	2	5
220	228404	303473	68779	1.0	110	2	5
220	228665	303473	68779	1.0	110	2	5
220	228814	303473	68779	1.0	110	2	5
220	228619	303473	68779	1.0	110	2	5
110	228130	303473	68779	1.0	110	2	5
110	228470	303473	68779	1.0	110	2	5
110	228763	303473	68779	1.0	110	2	5
110	228471	303473	68779	1.0	110	2	5
220	228575	303473	68779	1.0	110	2	5
220	228342	303473	68779	1.0	110	2	5
220	228289	303473	68779	1.0	110	2	5
220	228391	303473	68779	1.0	110	2	5
110	228221	303473	68779	1.0	110	2	5
110	228548	303473	68779	1.0	110	2	5
110	228361	303473	68779	1.0	110	2	5
110	228607	303473	68779	1.0	110	2	5
220	228558	303473	68779	1.0	110	2	5
220	228468	303473	68779	1.0	110	2	5
220	228473	303473	68779	1.0	110	2	5
110	228443	303473	68779	1.0	110	2	5
220	228609	303473	68779	1.0	110	2	5
220	228411	303473	68779	1.0	110	2	5
220	228600	303473	68779	1.0	110	2	5
110	228446	303473	68779	1.0	110	2	5
110	228350	303473	68779	1.0	110	2	5
110	228523	303473	68779	1.0	110	2	5
220	228314	303473	68779	1.0	110	2	5
220	228495	303473	68779	1.0	110	2	5
220	228484	303473	68779	1.0	110	2	5
220	228591	303473	68779	1.0	110	2	5
220	228413	303473	68779	1.0	110	2	5
220	228374	303473	68779	1.0	110	2	5
220	228358	303473	68779	1.0	110	2	5
220	228483	303473	68779	1.0	110	2	5
110	228276	303473	68779	1.0	110	2	5
220	228325	303473	68779	1.0	110	2	5
110	228440	303473	68779	1.0	110	2	5
110	228373	303473	68779	1.0	110	2	5
220	228407	303473	68779	1.0	110	2	5
220	228495	303473	68779	1.0	110	2	5
220	228588	303473	68779	1.0	110	2	5
220	228322	303473	68779	1.0	110	2	5
220	228594	303473	68779	1.0	110	2	5
110	228345	303473	68779	1.0	110	2	5
110	228339	303473	68779	1.0	110	2	5
220	228312	303473	68779	1.0	110	2	5
220	228295	303473	68779	1.0	110	2	5
220	228448	303473	68779	1.0	110	2	5
110	228697	303473	68779	1.0	110	2	5
110	228431	303473	68779	1.0	110	2	5
210	228539	303473	68779	1.0	210	2	5
210	228588	303473	68779	1.0	210	2	5
210	228932	303473	68779	1.0	210	2	5
210	228286	303473	68779	1.0	210	2	5
210	228579	303473	68779	1.0	210	2	5
210	228316	303473	68779	1.0	210	2	5
210	228462	303473	68779	1.0	210	2	5
210	228317	303473	68779	1.0	210	2	5
210	228304	303473	68779	1.0	210	2	5
210	228430	303473	68779	1.0	210	2	5
210	228324	303473	68779	1.0	210	2	5
210	228261	303473	68779	1.0	210	2	5
210	228354	303473	68779	1.0	210	2	5
210	228361	303473	68779	1.0	210	2	5
210	228128	303473	68779	1.0	210	2	5
210	228416	303473	68779	1.0	210	2	5
210	228254	303473	68779	1.0	210	2	5
210	228653	303473	68779	1.0	210	2	5
210	228457	303473	68779	1.0	210	2	5
210	228055	303473	68779	1.0	210	2	5
210	228399	303473	68779	1.0	210	2	5
210	228358	303473	68779	1.0	210	2	5
210	228299	303473	68779	1.0	210	2	5
210	228236	303473	68779	1.0	210	2	5
210	228337	303473	68779	1.0	210	2	5
210	228273	303473	68779	1.0	210	2	5
210	228245	303473	68779	1.0	210	2	5
210	228158	303473	68779	1.0	210	2	5
210	228408	303473	68779	1.0	210	2	5
210	228274	303473	68779	1.0	210	2	5
210	228403	303473	68779	1.0	210	2	5
210	228579	303473	68779	1.0	210	2	5
210	228463	303473	68779	1.0	210	2	5
210	228670	303473	68779	1.0	210	2	5
210	228284	303473	68779	1.0	210	2	5
210	228383	303473	68779	1.0	210	2	5
210	228736	303473	68779	1.0	210	2	5
210	228612	303473	68779	1.0	210	2	5
210	228598	303473	68779	1.0	210	2	5
210	228447	303473	68779	1.0	210	2	5
210	228440	303473	68779	1.0	210	2	5
210	228445	303473	68779	1.0	210	2	5
210	228291	303473	68779	1.0	210	2	5
210	228470	303473	68779	1.0	210	2	5
210	228459	303473	68779	1.0	210	2	5
210	228307	303473	68779	1.0	210	2	5
210	228699	303473	68779	1.0	210	2	5
210	228404	303473	68779	1.0	210	2	5
210	228297	303473	68779	1.0	210	2	5
210	228371	303473	68779	1.0	210	2	5
210	228266	303473	68779	1.0	210	2	5
210	228266	303473	68779	1.0	210	2	5
210	228265	303473	68779	1.0	210	2	5
210	228432	303473	68779	1.0	210	2	5
210	228375	303473	68779	1.0	210	2	5
210	228289	303473	68779	1.0	210	2	5
210	228454	303473	68779	1.0	210	2	5
210	228311	303473	68779	1.0	210	2	5
210	228255	303473	68779	1.0	210	2	5
210	228335	303473	68779	1.0	210	2	5
210	228315	303473	68779	1.0	210	2	5
210	228321	303473	68779	1.0	210	2	5
210	228313	303473	68779	1.0	210	2	5
210	228360	303473	68779	1.0	210	2	5
210	228415	303473	68779	1.0	210	2	5
210	228373	303473	68779	1.0	210	2	5
210	228294	303473	68779	1.0	210	2	5
210	228150	303473	68779	1.0	210	2	5
210	228431	303473	68779	1.0	210	2	5
210	228507	303473	68779	1.0	210	2	5
210	228331	303473	68779	1.0	210	2	5
210	228289	303473	68779	1.0	210	2	5
210	228249	303473	68779	1.0	210	2	5
210	228536	303473	68779	1.0	210	2	5
210	228204	303473	68779	1.0	210	2	5
210	228159	303473	68779	1.0	210	2	5
210	228549	303473	68779	1.0	210	2	5
210	228245	303473	68779	1.0	210	2	5
210	228732	303473	68779	1.0	210	2	5
210	228448	303473	68779	1.0	210	2	5
210	228084	303473	68779	1.0	210	2	5
210	228153	303473	68779	1.0	210	2	5
210	228437	303473	68779	1.0	210	2	5
210	228088	303473	68779	1.0	210	2	5
210	228291	303473	68779	1.0	210	2	5
210	228338	303473	68779	1.0	210	2	5
210	228514	303473	68779	1.0	210	2	5
210	228192	303473	68779	1.0	210	2	5
210	228438	303473	68779	1.0	210	2	5
210	228305	303473	68779	1.0	210	2	5
210	228305	303473	68779	1.0	210	2	5
210	228507	303473	68779	1.0	210	2	5
210	228386	303473	68779	1.0	210	2	5
210	228472	303473	68779	1.0	210	2	5
210	228558	303473	68779	1.0	210	2	5
210	228486	303473	68779	1.0	210	2	5
210	228239	303473	68779	1.0	210	2	5
210	228138	303473	68779	1.0	210	2	5
210	228238	303473	68779	1.0	210	2	5
210	228539	303473	68779	1.0	210	2	5
310	228372	303473	68779	1.0	310	2	5
310	228156	303473	68779	1.0	310	2	5
310	228249	303473	68779	1.0	310	2	5
310	228429	303473	68779	1.0	310	2	5
310	228451	303473	68779	1.0	310	2	5
310	228429	303473	68779	1.0	310	2	5
310	228439	303473	68779	1.0	310	2	5
310	228197	303473	68779	1.0	310	2	5
310	228214	303473	68779	1.0	310	2	5
310	228303	303473	68779	1.0	310	2	5
310	228383	303473	68779	1.0	310	2	5
310	228358	303473	68779	1.0	310	2	5
310	228255	303473	68779	1.0	310	2	5
310	228362	303473	68779	1.0	310	2	5
310	228366	303473	68779	1.0	310	2	5
310	228354	303473	68779	1.0	310	2	5
310	228408	303473	68779	1.0	310	2	5
310	228080	303473	68779	1.0	310	2	5
310	228137	303473	68779	1.0	310	2	5
310	228313	303473	68779	1.0	310	2	5
310	228207	303473	68779	1.0	310	2	5
310	228471	303473	68779	1.0	310	2	5
310	228423	303473	68779	1.0	310	2	5
310	228338	303473	68779	1.0	310	2	5
310	228249	303473	68779	1.0	310	2	5
310	228386	303473	68779	1.0	310	2	5
310	228278	303473	68779	1.0	310	2	5
310	228250	303473	68779	1.0	310	2	5
310	228396	303473	68779	1.0	310	2	5
310	228412	303473	68779	1.0	310	2	5
310	228490	303473	68779	1.0	310	2	5
310	228259	303473	68779	1.0	310	2	5
