t	nsat	m	n	chi	lambda	k	timebudget
200	228827	303473	68779	1.0	50	2	5
200	228918	303473	68779	1.0	50	2	5
200	228736	303473	68779	1.0	50	2	5
200	228795	303473	68779	1.0	50	2	5
200	228723	303473	68779	1.0	50	2	5
150	228767	303473	68779	1.0	50	2	5
150	228957	303473	68779	1.0	50	2	5
200	228695	303473	68779	1.0	50	2	5
200	228717	303473	68779	1.0	50	2	5
200	228581	303473	68779	1.0	50	2	5
200	228686	303473	68779	1.0	50	2	5
200	228638	303473	68779	1.0	50	2	5
150	228819	303473	68779	1.0	50	2	5
200	228620	303473	68779	1.0	50	2	5
200	228893	303473	68779	1.0	50	2	5
200	228786	303473	68779	1.0	50	2	5
200	228898	303473	68779	1.0	50	2	5
150	228598	303473	68779	1.0	50	2	5
150	228564	303473	68779	1.0	50	2	5
200	228516	303473	68779	1.0	50	2	5
200	228713	303473	68779	1.0	50	2	5
200	228857	303473	68779	1.0	50	2	5
200	228618	303473	68779	1.0	50	2	5
200	228535	303473	68779	1.0	50	2	5
200	228796	303473	68779	1.0	50	2	5
200	228673	303473	68779	1.0	50	2	5
150	228600	303473	68779	1.0	50	2	5
200	228659	303473	68779	1.0	50	2	5
200	228808	303473	68779	1.0	50	2	5
200	228906	303473	68779	1.0	50	2	5
200	228935	303473	68779	1.0	50	2	5
200	229043	303473	68779	1.0	50	2	5
200	228804	303473	68779	1.0	50	2	5
150	228899	303473	68779	1.0	50	2	5
200	228833	303473	68779	1.0	50	2	5
200	228706	303473	68779	1.0	50	2	5
200	228817	303473	68779	1.0	50	2	5
200	228955	303473	68779	1.0	50	2	5
200	229059	303473	68779	1.0	50	2	5
200	228866	303473	68779	1.0	50	2	5
200	228852	303473	68779	1.0	50	2	5
200	228879	303473	68779	1.0	50	2	5
200	228795	303473	68779	1.0	50	2	5
200	228855	303473	68779	1.0	50	2	5
200	228820	303473	68779	1.0	50	2	5
200	228733	303473	68779	1.0	50	2	5
200	228657	303473	68779	1.0	50	2	5
150	228762	303473	68779	1.0	50	2	5
150	228580	303473	68779	1.0	50	2	5
200	228938	303473	68779	1.0	50	2	5
200	228755	303473	68779	1.0	50	2	5
200	228442	303473	68779	1.0	50	2	5
200	228881	303473	68779	1.0	50	2	5
200	228762	303473	68779	1.0	50	2	5
200	228555	303473	68779	1.0	50	2	5
200	228762	303473	68779	1.0	50	2	5
200	228773	303473	68779	1.0	50	2	5
200	229250	303473	68779	1.0	50	2	5
200	228793	303473	68779	1.0	50	2	5
200	228885	303473	68779	1.0	50	2	5
200	228800	303473	68779	1.0	50	2	5
150	228511	303473	68779	1.0	50	2	5
200	228953	303473	68779	1.0	50	2	5
200	228848	303473	68779	1.0	50	2	5
200	228564	303473	68779	1.0	50	2	5
200	228888	303473	68779	1.0	50	2	5
150	228484	303473	68779	1.0	50	2	5
200	228775	303473	68779	1.0	50	2	5
200	228672	303473	68779	1.0	50	2	5
200	228627	303473	68779	1.0	50	2	5
200	228576	303473	68779	1.0	50	2	5
200	228961	303473	68779	1.0	50	2	5
200	228783	303473	68779	1.0	50	2	5
150	228664	303473	68779	1.0	50	2	5
200	228373	303473	68779	1.0	50	2	5
200	228639	303473	68779	1.0	50	2	5
200	228873	303473	68779	1.0	50	2	5
200	228877	303473	68779	1.0	50	2	5
200	228770	303473	68779	1.0	50	2	5
200	228681	303473	68779	1.0	50	2	5
200	228740	303473	68779	1.0	50	2	5
150	228711	303473	68779	1.0	50	2	5
150	228625	303473	68779	1.0	50	2	5
200	228853	303473	68779	1.0	50	2	5
200	228779	303473	68779	1.0	50	2	5
200	228710	303473	68779	1.0	50	2	5
200	228661	303473	68779	1.0	50	2	5
200	228705	303473	68779	1.0	50	2	5
200	228876	303473	68779	1.0	50	2	5
200	229215	303473	68779	1.0	50	2	5
200	228766	303473	68779	1.0	50	2	5
200	228870	303473	68779	1.0	50	2	5
200	228706	303473	68779	1.0	50	2	5
200	228774	303473	68779	1.0	50	2	5
200	229018	303473	68779	1.0	50	2	5
200	228775	303473	68779	1.0	50	2	5
200	228734	303473	68779	1.0	50	2	5
200	228883	303473	68779	1.0	50	2	5
200	229168	303473	68779	1.0	50	2	5
200	228922	303473	68779	1.0	50	2	5
200	228851	303473	68779	1.0	50	3	5
200	228893	303473	68779	1.0	50	3	5
200	228836	303473	68779	1.0	50	3	5
200	228557	303473	68779	1.0	50	3	5
200	228893	303473	68779	1.0	50	3	5
200	228788	303473	68779	1.0	50	3	5
200	228587	303473	68779	1.0	50	3	5
200	228856	303473	68779	1.0	50	3	5
200	228748	303473	68779	1.0	50	3	5
200	228989	303473	68779	1.0	50	3	5
150	228610	303473	68779	1.0	50	3	5
150	228630	303473	68779	1.0	50	3	5
150	228433	303473	68779	1.0	50	3	5
150	228698	303473	68779	1.0	50	3	5
200	228932	303473	68779	1.0	50	3	5
200	229004	303473	68779	1.0	50	3	5
200	228802	303473	68779	1.0	50	3	5
200	228908	303473	68779	1.0	50	3	5
200	229253	303473	68779	1.0	50	3	5
200	228673	303473	68779	1.0	50	3	5
200	228869	303473	68779	1.0	50	3	5
200	228910	303473	68779	1.0	50	3	5
