t	nsat	m	n	chi	lambda	k	timebudget
300	220625	280506	9061	0.1	50	2	5
300	222048	280506	9061	0.1	50	2	5
300	220706	280506	9061	0.1	50	2	5
300	221231	280506	9061	0.1	50	2	5
350	221563	280506	9061	0.1	50	2	5
300	222001	280506	9061	0.1	50	2	5
300	220636	280506	9061	0.1	50	2	5
300	220670	280506	9061	0.1	50	2	5
300	221969	280506	9061	0.1	50	2	5
300	221166	280506	9061	0.1	50	2	5
300	220646	280506	9061	0.1	50	2	5
250	221226	280506	9061	0.1	50	2	5
300	221577	280506	9061	0.1	50	2	5
350	221520	280506	9061	0.1	50	2	5
300	220353	280506	9061	0.1	50	2	5
300	220319	280506	9061	0.1	50	2	5
300	220356	280506	9061	0.1	50	2	5
300	223054	280506	9061	0.1	50	2	5
350	220569	280506	9061	0.1	50	2	5
350	221834	280506	9061	0.1	50	2	5
300	220992	280506	9061	0.1	50	2	5
300	219683	280506	9061	0.1	50	2	5
300	222260	280506	9061	0.1	50	2	5
300	220769	280506	9061	0.1	50	2	5
350	221184	280506	9061	0.1	50	2	5
250	220412	280506	9061	0.1	50	2	5
300	221060	280506	9061	0.1	50	2	5
300	221653	280506	9061	0.1	50	2	5
300	220376	280506	9061	0.1	50	2	5
350	221532	280506	9061	0.1	50	2	5
350	220717	280506	9061	0.1	50	2	5
300	221488	280506	9061	0.1	50	2	5
300	221571	280506	9061	0.1	50	2	5
300	220701	280506	9061	0.1	50	2	5
300	221976	280506	9061	0.1	50	2	5
300	220442	280506	9061	0.1	50	2	5
300	221496	280506	9061	0.1	50	2	5
350	222957	280506	9061	0.1	50	2	5
350	220238	280506	9061	0.1	50	2	5
350	222103	280506	9061	0.1	50	2	5
300	221737	280506	9061	0.1	50	2	5
300	220608	280506	9061	0.1	50	2	5
300	220213	280506	9061	0.1	50	2	5
300	221423	280506	9061	0.1	50	2	5
300	220932	280506	9061	0.1	50	2	5
350	221662	280506	9061	0.1	50	2	5
350	221809	280506	9061	0.1	50	2	5
350	221926	280506	9061	0.1	50	2	5
300	221753	280506	9061	0.1	50	2	5
300	222390	280506	9061	0.1	50	2	5
