t	nsat	m	n	chi	lambda	k	timebudget
310	221108	280506	9061	1.0	10	2	5
300	222711	280506	9061	1.0	10	2	5
380	218896	280506	9061	1.0	10	2	5
340	221984	280506	9061	1.0	10	2	5
340	218249	280506	9061	1.0	10	2	5
330	220039	280506	9061	1.0	10	2	5
370	221319	280506	9061	1.0	10	2	5
310	221125	280506	9061	1.0	10	2	5
340	222482	280506	9061	1.0	10	2	5
350	221926	280506	9061	1.0	10	2	5
360	220376	280506	9061	1.0	10	2	5
360	220787	280506	9061	1.0	10	2	5
350	220954	280506	9061	1.0	10	2	5
330	222419	280506	9061	1.0	10	2	5
310	220121	280506	9061	1.0	10	2	5
350	219414	280506	9061	1.0	10	2	5
350	220636	280506	9061	1.0	10	2	5
360	221692	280506	9061	1.0	10	2	5
360	221724	280506	9061	1.0	10	2	5
360	220949	280506	9061	1.0	10	2	5
340	221520	280506	9061	1.0	10	2	5
330	221683	280506	9061	1.0	10	2	5
340	220321	280506	9061	1.0	10	2	5
360	221573	280506	9061	1.0	10	2	5
360	219521	280506	9061	1.0	10	2	5
360	221724	280506	9061	1.0	10	2	5
340	220073	280506	9061	1.0	10	2	5
310	222298	280506	9061	1.0	10	2	5
310	222560	280506	9061	1.0	10	2	5
310	220463	280506	9061	1.0	10	2	5
310	220788	280506	9061	1.0	10	2	5
350	221552	280506	9061	1.0	10	2	5
350	222032	280506	9061	1.0	10	2	5
350	221974	280506	9061	1.0	10	2	5
350	220357	280506	9061	1.0	10	2	5
350	220542	280506	9061	1.0	10	2	5
330	220911	280506	9061	1.0	10	2	5
360	223463	280506	9061	1.0	10	2	5
360	222665	280506	9061	1.0	10	2	5
330	222355	280506	9061	1.0	10	2	5
330	221736	280506	9061	1.0	10	2	5
340	220922	280506	9061	1.0	10	2	5
350	218769	280506	9061	1.0	10	2	5
370	219736	280506	9061	1.0	10	2	5
390	222344	280506	9061	1.0	10	2	5
380	220894	280506	9061	1.0	10	2	5
330	221896	280506	9061	1.0	10	2	5
340	220101	280506	9061	1.0	10	2	5
380	219369	280506	9061	1.0	10	2	5
360	221995	280506	9061	1.0	10	2	5
360	220922	280506	9061	1.0	10	2	5
340	219139	280506	9061	1.0	10	2	5
300	219684	280506	9061	1.0	10	2	5
350	220415	280506	9061	1.0	10	2	5
370	221467	280506	9061	1.0	10	2	5
380	219336	280506	9061	1.0	10	2	5
340	220199	280506	9061	1.0	10	2	5
330	220123	280506	9061	1.0	10	2	5
370	220804	280506	9061	1.0	10	2	5
370	222646	280506	9061	1.0	10	2	5
350	218462	280506	9061	1.0	10	2	5
370	220417	280506	9061	1.0	10	2	5
360	220571	280506	9061	1.0	10	2	5
340	222388	280506	9061	1.0	10	2	5
350	219613	280506	9061	1.0	10	2	5
340	220546	280506	9061	1.0	10	2	5
350	220956	280506	9061	1.0	10	2	5
360	221643	280506	9061	1.0	10	2	5
360	220573	280506	9061	1.0	10	2	5
350	220630	280506	9061	1.0	10	2	5
320	218904	280506	9061	1.0	10	2	5
340	218335	280506	9061	1.0	10	2	5
350	221344	280506	9061	1.0	10	2	5
360	222110	280506	9061	1.0	10	2	5
330	221068	280506	9061	1.0	10	2	5
360	221500	280506	9061	1.0	10	2	5
350	219315	280506	9061	1.0	10	2	5
350	222099	280506	9061	1.0	10	2	5
340	217878	280506	9061	1.0	10	2	5
340	221327	280506	9061	1.0	10	2	5
350	222222	280506	9061	1.0	10	2	5
360	220691	280506	9061	1.0	10	2	5
340	220075	280506	9061	1.0	10	2	5
380	220671	280506	9061	1.0	10	2	5
350	222676	280506	9061	1.0	10	2	5
350	218927	280506	9061	1.0	10	2	5
340	221251	280506	9061	1.0	10	2	5
390	220025	280506	9061	1.0	10	2	5
350	219369	280506	9061	1.0	10	2	5
340	221534	280506	9061	1.0	10	2	5
360	220925	280506	9061	1.0	10	2	5
340	221192	280506	9061	1.0	10	2	5
350	220610	280506	9061	1.0	10	2	5
340	222184	280506	9061	1.0	10	2	5
380	219966	280506	9061	1.0	10	2	5
360	220685	280506	9061	1.0	10	2	5
350	219931	280506	9061	1.0	10	2	5
350	221478	280506	9061	1.0	10	2	5
350	220215	280506	9061	1.0	10	2	5
360	221628	280506	9061	1.0	10	2	5
220	218030	280506	9061	1.0	110	2	5
220	216979	280506	9061	1.0	110	2	5
220	218994	280506	9061	1.0	110	2	5
220	218734	280506	9061	1.0	110	2	5
330	218129	280506	9061	1.0	110	2	5
330	218661	280506	9061	1.0	110	2	5
220	218960	280506	9061	1.0	110	2	5
220	218899	280506	9061	1.0	110	2	5
330	218476	280506	9061	1.0	110	2	5
220	218459	280506	9061	1.0	110	2	5
220	218909	280506	9061	1.0	110	2	5
330	219009	280506	9061	1.0	110	2	5
220	218267	280506	9061	1.0	110	2	5
330	220015	280506	9061	1.0	110	2	5
220	218432	280506	9061	1.0	110	2	5
330	218657	280506	9061	1.0	110	2	5
330	219456	280506	9061	1.0	110	2	5
330	219269	280506	9061	1.0	110	2	5
220	218412	280506	9061	1.0	110	2	5
220	218036	280506	9061	1.0	110	2	5
220	218806	280506	9061	1.0	110	2	5
220	218461	280506	9061	1.0	110	2	5
330	218353	280506	9061	1.0	110	2	5
330	218590	280506	9061	1.0	110	2	5
220	218280	280506	9061	1.0	110	2	5
220	219617	280506	9061	1.0	110	2	5
220	218238	280506	9061	1.0	110	2	5
220	218807	280506	9061	1.0	110	2	5
220	219580	280506	9061	1.0	110	2	5
220	219053	280506	9061	1.0	110	2	5
330	219347	280506	9061	1.0	110	2	5
330	218476	280506	9061	1.0	110	2	5
330	219250	280506	9061	1.0	110	2	5
330	218758	280506	9061	1.0	110	2	5
220	218176	280506	9061	1.0	110	2	5
220	218404	280506	9061	1.0	110	2	5
220	217490	280506	9061	1.0	110	2	5
330	219323	280506	9061	1.0	110	2	5
220	219064	280506	9061	1.0	110	2	5
330	219942	280506	9061	1.0	110	2	5
220	218392	280506	9061	1.0	110	2	5
220	218580	280506	9061	1.0	110	2	5
220	217555	280506	9061	1.0	110	2	5
220	219429	280506	9061	1.0	110	2	5
220	218021	280506	9061	1.0	110	2	5
220	218804	280506	9061	1.0	110	2	5
220	219721	280506	9061	1.0	110	2	5
220	218994	280506	9061	1.0	110	2	5
220	218335	280506	9061	1.0	110	2	5
220	219335	280506	9061	1.0	110	2	5
330	219734	280506	9061	1.0	110	2	5
330	218704	280506	9061	1.0	110	2	5
220	217951	280506	9061	1.0	110	2	5
220	218343	280506	9061	1.0	110	2	5
220	218940	280506	9061	1.0	110	2	5
220	218043	280506	9061	1.0	110	2	5
330	219438	280506	9061	1.0	110	2	5
220	219292	280506	9061	1.0	110	2	5
220	218600	280506	9061	1.0	110	2	5
330	218325	280506	9061	1.0	110	2	5
220	218601	280506	9061	1.0	110	2	5
220	217633	280506	9061	1.0	110	2	5
220	219153	280506	9061	1.0	110	2	5
330	218541	280506	9061	1.0	110	2	5
330	219391	280506	9061	1.0	110	2	5
330	219008	280506	9061	1.0	110	2	5
330	218580	280506	9061	1.0	110	2	5
220	220034	280506	9061	1.0	110	2	5
220	218899	280506	9061	1.0	110	2	5
330	219872	280506	9061	1.0	110	2	5
330	218984	280506	9061	1.0	110	2	5
220	219554	280506	9061	1.0	110	2	5
220	218542	280506	9061	1.0	110	2	5
220	217747	280506	9061	1.0	110	2	5
330	219041	280506	9061	1.0	110	2	5
220	219031	280506	9061	1.0	110	2	5
220	218127	280506	9061	1.0	110	2	5
220	219391	280506	9061	1.0	110	2	5
220	218961	280506	9061	1.0	110	2	5
330	218692	280506	9061	1.0	110	2	5
220	218436	280506	9061	1.0	110	2	5
220	218412	280506	9061	1.0	110	2	5
220	218408	280506	9061	1.0	110	2	5
330	218450	280506	9061	1.0	110	2	5
330	218899	280506	9061	1.0	110	2	5
220	218648	280506	9061	1.0	110	2	5
220	218919	280506	9061	1.0	110	2	5
220	219450	280506	9061	1.0	110	2	5
330	219243	280506	9061	1.0	110	2	5
330	218357	280506	9061	1.0	110	2	5
220	219229	280506	9061	1.0	110	2	5
220	218714	280506	9061	1.0	110	2	5
220	218486	280506	9061	1.0	110	2	5
330	218978	280506	9061	1.0	110	2	5
330	219386	280506	9061	1.0	110	2	5
330	220001	280506	9061	1.0	110	2	5
330	219204	280506	9061	1.0	110	2	5
330	218919	280506	9061	1.0	110	2	5
220	218741	280506	9061	1.0	110	2	5
330	219245	280506	9061	1.0	110	2	5
210	218076	280506	9061	1.0	210	2	5
210	218021	280506	9061	1.0	210	2	5
210	218320	280506	9061	1.0	210	2	5
210	217037	280506	9061	1.0	210	2	5
210	217629	280506	9061	1.0	210	2	5
210	216626	280506	9061	1.0	210	2	5
210	218822	280506	9061	1.0	210	2	5
210	217038	280506	9061	1.0	210	2	5
210	217945	280506	9061	1.0	210	2	5
210	217797	280506	9061	1.0	210	2	5
210	217587	280506	9061	1.0	210	2	5
210	217268	280506	9061	1.0	210	2	5
210	217125	280506	9061	1.0	210	2	5
210	217688	280506	9061	1.0	210	2	5
210	217531	280506	9061	1.0	210	2	5
210	217556	280506	9061	1.0	210	2	5
210	218166	280506	9061	1.0	210	2	5
210	217818	280506	9061	1.0	210	2	5
210	217383	280506	9061	1.0	210	2	5
210	218610	280506	9061	1.0	210	2	5
210	217468	280506	9061	1.0	210	2	5
210	217318	280506	9061	1.0	210	2	5
210	218610	280506	9061	1.0	210	2	5
210	218479	280506	9061	1.0	210	2	5
210	218064	280506	9061	1.0	210	2	5
210	217279	280506	9061	1.0	210	2	5
210	217416	280506	9061	1.0	210	2	5
210	218179	280506	9061	1.0	210	2	5
210	218071	280506	9061	1.0	210	2	5
210	217831	280506	9061	1.0	210	2	5
210	218767	280506	9061	1.0	210	2	5
210	218145	280506	9061	1.0	210	2	5
210	217480	280506	9061	1.0	210	2	5
210	218141	280506	9061	1.0	210	2	5
210	217524	280506	9061	1.0	210	2	5
210	218555	280506	9061	1.0	210	2	5
210	217626	280506	9061	1.0	210	2	5
210	217476	280506	9061	1.0	210	2	5
210	217422	280506	9061	1.0	210	2	5
210	217736	280506	9061	1.0	210	2	5
210	217116	280506	9061	1.0	210	2	5
210	217917	280506	9061	1.0	210	2	5
210	219588	280506	9061	1.0	210	2	5
210	219031	280506	9061	1.0	210	2	5
210	217928	280506	9061	1.0	210	2	5
210	218007	280506	9061	1.0	210	2	5
210	218109	280506	9061	1.0	210	2	5
210	217537	280506	9061	1.0	210	2	5
210	219041	280506	9061	1.0	210	2	5
210	217181	280506	9061	1.0	210	2	5
210	218079	280506	9061	1.0	210	2	5
210	217335	280506	9061	1.0	210	2	5
210	217798	280506	9061	1.0	210	2	5
210	217806	280506	9061	1.0	210	2	5
210	217236	280506	9061	1.0	210	2	5
210	217312	280506	9061	1.0	210	2	5
210	217840	280506	9061	1.0	210	2	5
210	218324	280506	9061	1.0	210	2	5
210	217596	280506	9061	1.0	210	2	5
210	217425	280506	9061	1.0	210	2	5
210	218434	280506	9061	1.0	210	2	5
210	218136	280506	9061	1.0	210	2	5
210	218464	280506	9061	1.0	210	2	5
210	217968	280506	9061	1.0	210	2	5
210	218300	280506	9061	1.0	210	2	5
210	218615	280506	9061	1.0	210	2	5
210	218224	280506	9061	1.0	210	2	5
210	218820	280506	9061	1.0	210	2	5
210	218599	280506	9061	1.0	210	2	5
210	218488	280506	9061	1.0	210	2	5
210	218201	280506	9061	1.0	210	2	5
210	218504	280506	9061	1.0	210	2	5
210	217740	280506	9061	1.0	210	2	5
210	217661	280506	9061	1.0	210	2	5
210	218805	280506	9061	1.0	210	2	5
