t	nsat	m	n	chi	lambda	k	timebudget
300	220721	280506	9061	1.0	50	2	5
250	220195	280506	9061	1.0	50	2	5
250	222147	280506	9061	1.0	50	2	5
250	219023	280506	9061	1.0	50	2	5
300	219767	280506	9061	1.0	50	2	5
300	221504	280506	9061	1.0	50	2	5
350	221985	280506	9061	1.0	50	2	5
350	221951	280506	9061	1.0	50	2	5
300	221488	280506	9061	1.0	50	2	5
300	220901	280506	9061	1.0	50	2	5
300	221107	280506	9061	1.0	50	2	5
300	220644	280506	9061	1.0	50	2	5
300	221254	280506	9061	1.0	50	2	5
350	221130	280506	9061	1.0	50	2	5
300	221100	280506	9061	1.0	50	2	5
300	221423	280506	9061	1.0	50	2	5
250	220129	280506	9061	1.0	50	2	5
300	221513	280506	9061	1.0	50	2	5
300	222827	280506	9061	1.0	50	2	5
300	221156	280506	9061	1.0	50	2	5
300	219992	280506	9061	1.0	50	2	5
300	222197	280506	9061	1.0	50	2	5
300	221127	280506	9061	1.0	50	2	5
250	220200	280506	9061	1.0	50	2	5
250	220569	280506	9061	1.0	50	2	5
300	221007	280506	9061	1.0	50	2	5
300	220975	280506	9061	1.0	50	2	5
300	221687	280506	9061	1.0	50	2	5
300	221017	280506	9061	1.0	50	2	5
350	222834	280506	9061	1.0	50	2	5
350	222176	280506	9061	1.0	50	2	5
300	221199	280506	9061	1.0	50	2	5
300	220814	280506	9061	1.0	50	2	5
300	221159	280506	9061	1.0	50	2	5
250	220004	280506	9061	1.0	50	2	5
300	221142	280506	9061	1.0	50	2	5
300	220763	280506	9061	1.0	50	2	5
250	219966	280506	9061	1.0	50	2	5
300	223084	280506	9061	1.0	50	2	5
300	221768	280506	9061	1.0	50	2	5
300	221822	280506	9061	1.0	50	2	5
300	221342	280506	9061	1.0	50	2	5
300	222967	280506	9061	1.0	50	2	5
300	221066	280506	9061	1.0	50	2	5
300	220994	280506	9061	1.0	50	2	5
300	220859	280506	9061	1.0	50	2	5
300	220946	280506	9061	1.0	50	2	5
300	221749	280506	9061	1.0	50	2	5
300	221939	280506	9061	1.0	50	2	5
300	220674	280506	9061	1.0	50	2	5
300	222141	280506	9061	1.0	50	2	5
300	219749	280506	9061	1.0	50	2	5
300	221952	280506	9061	1.0	50	2	5
300	221204	280506	9061	1.0	50	2	5
300	221297	280506	9061	1.0	50	2	5
300	221330	280506	9061	1.0	50	2	5
300	220797	280506	9061	1.0	50	2	5
300	221736	280506	9061	1.0	50	2	5
300	222408	280506	9061	1.0	50	2	5
300	220179	280506	9061	1.0	50	2	5
300	220492	280506	9061	1.0	50	2	5
300	221760	280506	9061	1.0	50	2	5
300	221456	280506	9061	1.0	50	2	5
300	221161	280506	9061	1.0	50	2	5
300	221418	280506	9061	1.0	50	2	5
300	221004	280506	9061	1.0	50	2	5
250	219840	280506	9061	1.0	50	2	5
300	221213	280506	9061	1.0	50	2	5
300	220619	280506	9061	1.0	50	2	5
300	221465	280506	9061	1.0	50	2	5
300	222006	280506	9061	1.0	50	2	5
300	221121	280506	9061	1.0	50	2	5
300	221096	280506	9061	1.0	50	2	5
300	221671	280506	9061	1.0	50	2	5
300	221475	280506	9061	1.0	50	2	5
300	221921	280506	9061	1.0	50	2	5
300	220758	280506	9061	1.0	50	2	5
300	220720	280506	9061	1.0	50	2	5
300	221198	280506	9061	1.0	50	2	5
300	222379	280506	9061	1.0	50	2	5
300	221901	280506	9061	1.0	50	2	5
300	222157	280506	9061	1.0	50	2	5
300	221424	280506	9061	1.0	50	2	5
250	219960	280506	9061	1.0	50	2	5
250	221304	280506	9061	1.0	50	2	5
300	220657	280506	9061	1.0	50	2	5
350	221391	280506	9061	1.0	50	2	5
300	221262	280506	9061	1.0	50	2	5
300	220725	280506	9061	1.0	50	2	5
300	221842	280506	9061	1.0	50	2	5
300	220955	280506	9061	1.0	50	2	5
350	221210	280506	9061	1.0	50	2	5
300	220669	280506	9061	1.0	50	2	5
350	221398	280506	9061	1.0	50	2	5
300	221537	280506	9061	1.0	50	2	5
250	222018	280506	9061	1.0	50	2	5
300	221912	280506	9061	1.0	50	2	5
300	220825	280506	9061	1.0	50	2	5
300	220766	280506	9061	1.0	50	2	5
300	221499	280506	9061	1.0	50	2	5
300	223011	280506	9061	1.0	50	3	5
300	221056	280506	9061	1.0	50	3	5
300	220786	280506	9061	1.0	50	3	5
300	221054	280506	9061	1.0	50	3	5
300	221572	280506	9061	1.0	50	3	5
300	221629	280506	9061	1.0	50	3	5
300	221152	280506	9061	1.0	50	3	5
300	223108	280506	9061	1.0	50	3	5
250	220991	280506	9061	1.0	50	3	5
250	220025	280506	9061	1.0	50	3	5
200	221838	280506	9061	1.0	50	3	5
250	221612	280506	9061	1.0	50	3	5
300	221721	280506	9061	1.0	50	3	5
300	223047	280506	9061	1.0	50	3	5
300	221224	280506	9061	1.0	50	3	5
200	221189	280506	9061	1.0	50	3	5
300	222644	280506	9061	1.0	50	3	5
300	222380	280506	9061	1.0	50	3	5
250	221517	280506	9061	1.0	50	3	5
250	221619	280506	9061	1.0	50	3	5
250	221908	280506	9061	1.0	50	3	5
250	221048	280506	9061	1.0	50	3	5
300	222295	280506	9061	1.0	50	3	5
300	222099	280506	9061	1.0	50	3	5
300	221085	280506	9061	1.0	50	3	5
300	221492	280506	9061	1.0	50	3	5
300	222477	280506	9061	1.0	50	3	5
300	222399	280506	9061	1.0	50	3	5
300	221635	280506	9061	1.0	50	3	5
300	221799	280506	9061	1.0	50	3	5
300	221391	280506	9061	1.0	50	3	5
250	222549	280506	9061	1.0	50	3	5
200	220803	280506	9061	1.0	50	3	5
250	220401	280506	9061	1.0	50	3	5
300	221888	280506	9061	1.0	50	3	5
300	220640	280506	9061	1.0	50	3	5
300	221718	280506	9061	1.0	50	3	5
300	221984	280506	9061	1.0	50	3	5
300	221880	280506	9061	1.0	50	3	5
300	221845	280506	9061	1.0	50	3	5
300	220888	280506	9061	1.0	50	3	5
300	221796	280506	9061	1.0	50	3	5
300	221099	280506	9061	1.0	50	3	5
300	220939	280506	9061	1.0	50	3	5
300	221833	280506	9061	1.0	50	3	5
300	222607	280506	9061	1.0	50	3	5
350	221785	280506	9061	1.0	50	3	5
300	222359	280506	9061	1.0	50	3	5
250	221994	280506	9061	1.0	50	3	5
300	220636	280506	9061	1.0	50	3	5
300	221495	280506	9061	1.0	50	3	5
300	221612	280506	9061	1.0	50	3	5
250	221229	280506	9061	1.0	50	3	5
300	222188	280506	9061	1.0	50	3	5
300	222150	280506	9061	1.0	50	3	5
250	222015	280506	9061	1.0	50	3	5
300	222202	280506	9061	1.0	50	3	5
300	223833	280506	9061	1.0	50	3	5
350	223238	280506	9061	1.0	50	3	5
300	221781	280506	9061	1.0	50	3	5
350	222272	280506	9061	1.0	50	3	5
300	223703	280506	9061	1.0	50	3	5
300	220834	280506	9061	1.0	50	3	5
300	221913	280506	9061	1.0	50	3	5
350	222551	280506	9061	1.0	50	3	5
300	222693	280506	9061	1.0	50	3	5
300	223986	280506	9061	1.0	50	3	5
300	222194	280506	9061	1.0	50	3	5
300	222755	280506	9061	1.0	50	3	5
300	221372	280506	9061	1.0	50	3	5
250	220323	280506	9061	1.0	50	3	5
300	222350	280506	9061	1.0	50	3	5
300	221475	280506	9061	1.0	50	3	5
300	222238	280506	9061	1.0	50	3	5
300	222623	280506	9061	1.0	50	3	5
300	221331	280506	9061	1.0	50	3	5
300	222482	280506	9061	1.0	50	3	5
300	221618	280506	9061	1.0	50	3	5
300	221259	280506	9061	1.0	50	3	5
300	221285	280506	9061	1.0	50	3	5
300	221865	280506	9061	1.0	50	3	5
300	222408	280506	9061	1.0	50	3	5
300	222177	280506	9061	1.0	50	3	5
300	223656	280506	9061	1.0	50	3	5
250	221484	280506	9061	1.0	50	3	5
300	223326	280506	9061	1.0	50	3	5
300	222259	280506	9061	1.0	50	3	5
300	222566	280506	9061	1.0	50	3	5
300	222441	280506	9061	1.0	50	3	5
300	221719	280506	9061	1.0	50	3	5
250	221924	280506	9061	1.0	50	3	5
300	221680	280506	9061	1.0	50	3	5
300	222789	280506	9061	1.0	50	3	5
300	222029	280506	9061	1.0	50	3	5
300	222948	280506	9061	1.0	50	3	5
300	223929	280506	9061	1.0	50	3	5
300	220795	280506	9061	1.0	50	3	5
300	221742	280506	9061	1.0	50	3	5
300	222828	280506	9061	1.0	50	3	5
300	221695	280506	9061	1.0	50	3	5
300	222368	280506	9061	1.0	50	4	5
300	223263	280506	9061	1.0	50	4	5
300	222785	280506	9061	1.0	50	4	5
300	222021	280506	9061	1.0	50	4	5
300	221161	280506	9061	1.0	50	4	5
250	221387	280506	9061	1.0	50	4	5
250	221971	280506	9061	1.0	50	4	5
300	221835	280506	9061	1.0	50	4	5
300	222956	280506	9061	1.0	50	4	5
300	222789	280506	9061	1.0	50	4	5
300	221616	280506	9061	1.0	50	4	5
300	223292	280506	9061	1.0	50	4	5
300	221517	280506	9061	1.0	50	4	5
300	223157	280506	9061	1.0	50	4	5
300	222421	280506	9061	1.0	50	4	5
300	222876	280506	9061	1.0	50	4	5
300	221484	280506	9061	1.0	50	4	5
300	222127	280506	9061	1.0	50	4	5
300	223025	280506	9061	1.0	50	4	5
300	221981	280506	9061	1.0	50	4	5
300	222051	280506	9061	1.0	50	4	5
300	221860	280506	9061	1.0	50	4	5
250	222320	280506	9061	1.0	50	4	5
250	220997	280506	9061	1.0	50	4	5
300	222091	280506	9061	1.0	50	4	5
300	222408	280506	9061	1.0	50	4	5
300	222744	280506	9061	1.0	50	4	5
300	222785	280506	9061	1.0	50	4	5
300	221605	280506	9061	1.0	50	4	5
300	223678	280506	9061	1.0	50	4	5
300	221826	280506	9061	1.0	50	4	5
250	221045	280506	9061	1.0	50	4	5
300	222539	280506	9061	1.0	50	4	5
300	222129	280506	9061	1.0	50	4	5
300	222152	280506	9061	1.0	50	4	5
300	222720	280506	9061	1.0	50	4	5
300	222256	280506	9061	1.0	50	4	5
300	223527	280506	9061	1.0	50	4	5
350	222716	280506	9061	1.0	50	4	5
300	222987	280506	9061	1.0	50	4	5
300	223413	280506	9061	1.0	50	4	5
300	222150	280506	9061	1.0	50	4	5
300	222839	280506	9061	1.0	50	4	5
