tw	tg	b	h	lambda	k	chi	range	prec	type
9	612	56.3	4	100	2	1.0	0.1	5	MUTATE
9	613	55.0	4	100	2	1.0	0.1	5	MUTATE
9	197	55.6	4	100	2	1.0	0.1	5	MUTATE
9	444	55.2	4	100	2	1.0	0.1	5	MUTATE
9	780	57.1	4	100	2	1.0	0.1	5	MUTATE
9	131	58.1	4	100	2	1.0	0.1	5	MUTATE
9	503	57.0	4	100	2	1.0	0.1	5	MUTATE
9	856	56.9	4	100	2	1.0	0.1	5	MUTATE
9	162	56.6	4	100	2	1.0	0.1	5	MUTATE
9	136	55.9	4	100	2	1.0	0.1	5	MUTATE
9	248	55.9	4	100	2	1.0	0.1	5	MUTATE
9	317	56.3	4	100	2	1.0	0.1	5	MUTATE
9	150	56.0	4	100	2	1.0	0.1	5	MUTATE
9	355	55.7	4	100	2	1.0	0.1	5	MUTATE
9	804	55.3	4	100	2	1.0	0.1	5	MUTATE
9	981	55.8	4	100	2	1.0	0.1	5	MUTATE
9	223	56.5	4	100	2	1.0	0.1	5	MUTATE
9	52	55.5	4	100	2	1.0	0.1	5	MUTATE
9	947	56.3	4	100	2	1.0	0.1	5	MUTATE
9	797	57.1	4	100	2	1.0	0.1	5	MUTATE
9	125	55.3	4	100	2	1.0	0.1	5	MUTATE
9	836	55.6	4	100	2	1.0	0.1	5	MUTATE
9	264	57.2	4	100	2	1.0	0.1	5	MUTATE
9	567	56.5	4	100	2	1.0	0.1	5	MUTATE
9	286	57.0	4	100	2	1.0	0.1	5	MUTATE
9	202	55.3	4	100	2	1.0	0.1	5	MUTATE
9	966	58.0	4	100	2	1.0	0.1	5	MUTATE
9	474	56.3	4	100	2	1.0	0.1	5	MUTATE
9	533	57.1	4	100	2	1.0	0.1	5	MUTATE
9	263	54.8	4	100	2	1.0	0.1	5	MUTATE
9	947	56.6	4	100	2	1.0	0.1	5	MUTATE
9	337	56.1	4	100	2	1.0	0.1	5	MUTATE
9	508	55.9	4	100	2	1.0	0.1	5	MUTATE
9	667	56.6	4	100	2	1.0	0.1	5	MUTATE
9	264	55.5	4	100	2	1.0	0.1	5	MUTATE
9	948	56.1	4	100	2	1.0	0.1	5	MUTATE
9	274	56.4	4	100	2	1.0	0.1	5	MUTATE
9	971	56.5	4	100	2	1.0	0.1	5	MUTATE
9	362	57.4	4	100	2	1.0	0.1	5	MUTATE
9	315	55.4	4	100	2	1.0	0.1	5	MUTATE
9	360	55.9	4	100	2	1.0	0.1	5	MUTATE
9	948	55.6	4	100	2	1.0	0.1	5	MUTATE
9	233	56.6	4	100	2	1.0	0.1	5	MUTATE
9	467	56.1	4	100	2	1.0	0.1	5	MUTATE
9	427	56.7	4	100	2	1.0	0.1	5	MUTATE
9	976	55.7	4	100	2	1.0	0.1	5	MUTATE
9	654	54.8	4	100	2	1.0	0.1	5	MUTATE
9	110	55.6	4	100	2	1.0	0.1	5	MUTATE
9	721	56.6	4	100	2	1.0	0.1	5	MUTATE
9	96	56.0	4	100	2	1.0	0.1	5	MUTATE
9	234	56.8	4	100	2	1.0	0.1	5	MUTATE
9	418	55.1	4	100	2	1.0	0.1	5	MUTATE
9	684	55.4	4	100	2	1.0	0.1	5	MUTATE
9	838	55.8	4	100	2	1.0	0.1	5	MUTATE
9	341	56.3	4	100	2	1.0	0.1	5	MUTATE
9	324	55.2	4	100	2	1.0	0.1	5	MUTATE
9	8	56.9	4	100	2	1.0	0.1	5	MUTATE
9	309	56.2	4	100	2	1.0	0.1	5	MUTATE
9	572	55.6	4	100	2	1.0	0.1	5	MUTATE
9	801	55.9	4	100	2	1.0	0.1	5	MUTATE
9	696	55.5	4	100	2	1.0	0.1	5	MUTATE
9	850	56.4	4	100	2	1.0	0.1	5	MUTATE
9	348	58.0	4	100	2	1.0	0.1	5	MUTATE
9	747	54.8	4	100	2	1.0	0.1	5	MUTATE
9	834	56.3	4	100	2	1.0	0.1	5	MUTATE
9	338	54.9	4	100	2	1.0	0.1	5	MUTATE
9	947	55.1	4	100	2	1.0	0.1	5	MUTATE
9	635	56.8	4	100	2	1.0	0.1	5	MUTATE
9	314	55.7	4	100	2	1.0	0.1	5	MUTATE
9	562	56.2	4	100	2	1.0	0.1	5	MUTATE
9	381	55.4	4	100	2	1.0	0.1	5	MUTATE
9	839	56.2	4	100	2	1.0	0.1	5	MUTATE
9	188	56.1	4	100	2	1.0	0.1	5	MUTATE
9	571	56.3	4	100	2	1.0	0.1	5	MUTATE
9	292	57.3	4	100	2	1.0	0.1	5	MUTATE
9	477	57.7	4	100	2	1.0	0.1	5	MUTATE
9	886	56.1	4	100	2	1.0	0.1	5	MUTATE
9	654	55.1	4	100	2	1.0	0.1	5	MUTATE
9	570	56.1	4	100	2	1.0	0.1	5	MUTATE
9	660	56.1	4	100	2	1.0	0.1	5	MUTATE
9	603	55.5	4	100	2	1.0	0.1	5	MUTATE
9	710	55.9	4	100	2	1.0	0.1	5	MUTATE
9	917	56.2	4	100	2	1.0	0.1	5	MUTATE
9	638	56.1	4	100	2	1.0	0.1	5	MUTATE
9	154	57.4	4	100	2	1.0	0.1	5	MUTATE
9	305	55.9	4	100	2	1.0	0.1	5	MUTATE
9	953	55.8	4	100	2	1.0	0.1	5	MUTATE
9	329	56.3	4	100	2	1.0	0.1	5	MUTATE
9	957	56.3	4	100	2	1.0	0.1	5	MUTATE
