tw	tg	b	h	lambda	k	chi	range	prec	type
9	32	55.7	4	100	2	1.0	0.1	5	GDR
9	99	58.6	4	100	2	1.0	0.1	5	GDR
9	26	56.7	4	100	2	1.0	0.1	5	GDR
9	31	55.5	4	100	2	1.0	0.1	5	GDR
9	15	54.0	4	100	2	1.0	0.1	5	GDR
9	340	55.7	4	100	2	1.0	0.1	5	GDR
9	687	56.8	4	100	2	1.0	0.1	5	GDR
9	736	55.9	4	100	2	1.0	0.1	5	GDR
9	392	56.9	4	100	2	1.0	0.1	5	GDR
9	958	55.7	4	100	2	1.0	0.1	5	GDR
9	894	56.6	4	100	2	1.0	0.1	5	GDR
9	449	57.0	4	100	2	1.0	0.1	5	GDR
9	114	55.1	4	100	2	1.0	0.1	5	GDR
9	9	57.6	4	100	2	1.0	0.1	5	GDR
9	523	58.0	4	100	2	1.0	0.1	5	GDR
9	72	54.8	4	100	2	1.0	0.1	5	GDR
9	579	56.1	4	100	2	1.0	0.1	5	GDR
9	547	55.9	4	100	2	1.0	0.1	5	GDR
9	42	54.2	4	100	2	1.0	0.1	5	GDR
9	511	55.9	4	100	2	1.0	0.1	5	GDR
9	342	56.7	4	100	2	1.0	0.1	5	GDR
9	60	55.9	4	100	2	1.0	0.1	5	GDR
9	665	55.3	4	100	2	1.0	0.1	5	GDR
9	977	56.5	4	100	2	1.0	0.1	5	GDR
9	483	56.5	4	100	2	1.0	0.1	5	GDR
9	160	55.5	4	100	2	1.0	0.1	5	GDR
9	770	55.0	4	100	2	1.0	0.1	5	GDR
9	526	56.0	4	100	2	1.0	0.1	5	GDR
9	14	57.1	4	100	2	1.0	0.1	5	GDR
9	31	55.2	4	100	2	1.0	0.1	5	GDR
9	63	56.0	4	100	2	1.0	0.1	5	GDR
9	55	54.8	4	100	2	1.0	0.1	5	GDR
9	44	54.6	4	100	2	1.0	0.1	5	GDR
9	184	57.5	4	100	2	1.0	0.1	5	GDR
9	69	56.8	4	100	2	1.0	0.1	5	GDR
9	58	55.6	4	100	2	1.0	0.1	5	GDR
9	79	57.7	4	100	2	1.0	0.1	5	GDR
9	84	54.9	4	100	2	1.0	0.1	5	GDR
9	575	56.2	4	100	2	1.0	0.1	5	GDR
9	582	57.8	4	100	2	1.0	0.1	5	GDR
9	313	58.7	4	100	2	1.0	0.1	5	GDR
9	617	58.2	4	100	2	1.0	0.1	5	GDR
9	901	58.0	4	100	2	1.0	0.1	5	GDR
9	491	56.0	4	100	2	1.0	0.1	5	GDR
9	243	56.4	4	100	2	1.0	0.1	5	GDR
9	45	58.1	4	100	2	1.0	0.1	5	GDR
9	675	55.7	4	100	2	1.0	0.1	5	GDR
9	507	57.2	4	100	2	1.0	0.1	5	GDR
9	86	56.9	4	100	2	1.0	0.1	5	GDR
9	965	56.4	4	100	2	1.0	0.1	5	GDR
9	34	53.9	4	100	2	1.0	0.1	5	GDR
9	185	56.6	4	100	2	1.0	0.1	5	GDR
9	21	58.1	4	100	2	1.0	0.1	5	GDR
9	118	55.8	4	100	2	1.0	0.1	5	GDR
9	767	56.9	4	100	2	1.0	0.1	5	GDR
9	603	56.9	4	100	2	1.0	0.1	5	GDR
9	572	57.0	4	100	2	1.0	0.1	5	GDR
9	819	56.0	4	100	2	1.0	0.1	5	GDR
9	80	56.5	4	100	2	1.0	0.1	5	GDR
9	466	56.3	4	100	2	1.0	0.1	5	GDR
9	218	56.5	4	100	2	1.0	0.1	5	GDR
9	31	54.1	4	100	2	1.0	0.1	5	GDR
9	730	57.2	4	100	2	1.0	0.1	5	GDR
9	294	55.4	4	100	2	1.0	0.1	5	GDR
9	55	56.6	4	100	2	1.0	0.1	5	GDR
9	890	56.0	4	100	2	1.0	0.1	5	GDR
9	9	58.2	4	100	2	1.0	0.1	5	GDR
9	273	56.1	4	100	2	1.0	0.1	5	GDR
9	22	57.0	4	100	2	1.0	0.1	5	GDR
9	4	54.3	4	100	2	1.0	0.1	5	GDR
9	37	57.0	4	100	2	1.0	0.1	5	GDR
9	240	57.6	4	100	2	1.0	0.1	5	GDR
9	826	56.2	4	100	2	1.0	0.1	5	GDR
9	43	55.7	4	100	2	1.0	0.1	5	GDR
9	9	56.9	4	100	2	1.0	0.1	5	GDR
9	17	57.3	4	100	2	1.0	0.1	5	GDR
9	14	56.4	4	100	2	1.0	0.1	5	GDR
9	293	55.5	4	100	2	1.0	0.1	5	GDR
9	706	57.3	4	100	2	1.0	0.1	5	GDR
9	919	56.7	4	100	2	1.0	0.1	5	GDR
9	141	57.0	4	100	2	1.0	0.1	5	GDR
9	25	57.4	4	100	2	1.0	0.1	5	GDR
9	75	53.6	4	100	2	1.0	0.1	5	GDR
9	135	57.0	4	100	2	1.0	0.1	5	GDR
9	189	54.4	4	100	2	1.0	0.1	5	GDR
9	995	55.7	4	100	2	1.0	0.1	5	GDR
9	725	56.2	4	100	2	1.0	0.1	5	GDR
9	293	55.8	4	100	2	1.0	0.1	5	GDR
9	948	56.1	4	100	2	1.0	0.1	5	GDR
9	381	58.5	4	100	2	1.0	0.1	5	GDR
9	512	56.7	4	100	2	1.0	0.1	5	GDR
9	368	56.8	4	100	2	1.0	0.1	5	GDR
9	50	56.5	4	100	2	1.0	0.1	5	GDR
9	678	56.8	4	100	2	1.0	0.1	5	GDR
9	160	56.0	4	100	2	1.0	0.1	5	GDR
9	22	54.9	4	100	2	1.0	0.1	5	GDR
9	55	54.7	4	100	2	1.0	0.1	5	GDR
9	580	57.7	4	100	2	1.0	0.1	5	GDR
9	55	56.8	4	100	2	1.0	0.1	5	GDR
9	594	56.9	4	100	2	1.0	0.1	5	GDR
9	392	56.8	4	100	3	1.0	0.1	5	GDR
9	730	56.1	4	100	3	1.0	0.1	5	GDR
9	441	58.0	4	100	3	1.0	0.1	5	GDR
9	970	56.2	4	100	3	1.0	0.1	5	GDR
9	466	56.9	4	100	3	1.0	0.1	5	GDR
9	29	53.9	4	100	3	1.0	0.1	5	GDR
9	312	55.9	4	100	3	1.0	0.1	5	GDR
9	397	57.0	4	100	3	1.0	0.1	5	GDR
9	13	54.5	4	100	3	1.0	0.1	5	GDR
9	669	55.4	4	100	3	1.0	0.1	5	GDR
9	900	57.2	4	100	3	1.0	0.1	5	GDR
9	362	55.5	4	100	3	1.0	0.1	5	GDR
9	154	57.8	4	100	3	1.0	0.1	5	GDR
9	237	57.4	4	100	3	1.0	0.1	5	GDR
9	38	56.7	4	100	3	1.0	0.1	5	GDR
9	692	55.4	4	100	3	1.0	0.1	5	GDR
9	375	56.8	4	100	3	1.0	0.1	5	GDR
9	19	53.6	4	100	3	1.0	0.1	5	GDR
9	202	56.1	4	100	3	1.0	0.1	5	GDR
9	308	57.8	4	100	3	1.0	0.1	5	GDR
9	759	56.6	4	100	3	1.0	0.1	5	GDR
9	24	55.5	4	100	3	1.0	0.1	5	GDR
9	297	56.7	4	100	3	1.0	0.1	5	GDR
9	704	57.4	4	100	3	1.0	0.1	5	GDR
9	3	55.6	4	100	3	1.0	0.1	5	GDR
9	802	56.0	4	100	3	1.0	0.1	5	GDR
9	81	55.8	4	100	3	1.0	0.1	5	GDR
9	413	55.9	4	100	3	1.0	0.1	5	GDR
9	19	54.8	4	100	3	1.0	0.1	5	GDR
9	10	54.0	4	100	3	1.0	0.1	5	GDR
9	521	57.4	4	100	3	1.0	0.1	5	GDR
9	59	54.2	4	100	3	1.0	0.1	5	GDR
9	332	58.0	4	100	3	1.0	0.1	5	GDR
9	3	54.9	4	100	3	1.0	0.1	5	GDR
9	23	55.8	4	100	3	1.0	0.1	5	GDR
9	137	56.9	4	100	3	1.0	0.1	5	GDR
9	713	58.4	4	100	3	1.0	0.1	5	GDR
9	396	58.3	4	100	3	1.0	0.1	5	GDR
9	48	55.8	4	100	3	1.0	0.1	5	GDR
9	10	56.1	4	100	3	1.0	0.1	5	GDR
9	14	56.8	4	100	3	1.0	0.1	5	GDR
