tw	tg	b	h	lambda	k	chi	range	prec	type
9	836	57.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	51	56.6	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	805	57.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	194	56.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	32	56.3	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	491	57.1	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	765	56.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	630	57.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	53	56.3	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	39	55.4	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	26	55.6	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	241	55.6	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	653	55.6	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	820	56.4	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	780	56.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	408	55.8	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	368	55.2	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	129	56.2	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	221	57.8	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	753	55.4	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	445	58.1	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	405	56.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	331	57.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	741	57.1	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	663	55.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	36	56.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	158	55.8	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	169	56.1	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	592	56.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	961	56.4	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	295	55.3	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	99	55.8	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	740	56.3	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	655	55.9	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	831	58.9	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	758	56.1	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	21	56.4	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	146	54.7	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	92	55.9	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	179	55.6	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	258	56.3	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	127	55.6	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	663	55.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	165	55.8	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	631	55.8	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	431	57.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	555	55.1	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	707	58.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	65	56.2	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	488	55.9	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	188	55.3	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	515	56.1	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	78	55.8	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	463	56.3	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	596	55.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	497	56.1	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	430	57.2	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	22	56.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	550	55.2	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	532	56.2	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	945	56.2	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	540	56.8	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	591	56.4	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	132	55.4	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	631	56.7	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	42	55.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	610	57.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	47	56.4	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	532	55.9	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	379	57.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	90	56.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	526	55.7	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	531	56.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	277	55.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	809	55.7	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	145	56.3	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	379	56.2	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	28	57.7	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	408	55.6	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	844	56.2	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	699	57.6	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	931	55.2	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	545	57.9	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	561	56.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	915	56.2	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	414	56.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	983	56.1	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	839	56.7	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	365	56.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	418	55.2	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	475	56.8	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	219	55.6	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	319	56.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	906	55.0	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	255	56.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	37	55.7	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	90	58.3	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	159	55.8	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	26	56.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	46	55.5	4	100	2	0.5	0.1	5	GDR_THEN_MUTATE2
9	455	55.7	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	266	56.8	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	505	55.2	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	321	57.5	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	206	56.7	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	380	56.5	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	835	56.6	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	145	56.6	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	846	56.9	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	240	56.2	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	822	58.0	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	30	55.3	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	952	55.5	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	523	55.3	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	91	56.0	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	542	55.8	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	700	56.9	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
9	822	55.0	4	100	2	1.0	0.1	5	GDR_THEN_MUTATE2
