tw	tg	b	h	lambda	k	chi	range	prec	type
9	999	59.3	3	100	2	1.0	0.1	5	GDR
9	999	58.9	3	100	2	1.0	0.1	5	GDR
9	999	66.2	3	100	2	1.0	0.1	5	GDR
9	999	61.2	3	100	2	1.0	0.1	5	GDR
9	999	58.0	3	100	2	1.0	0.1	5	GDR
9	999	57.8	3	100	2	1.0	0.1	5	GDR
9	999	62.6	3	100	2	1.0	0.1	5	GDR
9	999	58.9	3	100	2	1.0	0.1	5	GDR
9	999	56.0	3	100	2	1.0	0.1	5	GDR
9	999	59.9	3	100	2	1.0	0.1	5	GDR
9	999	57.7	3	100	2	1.0	0.1	5	GDR
9	999	59.2	3	100	2	1.0	0.1	5	GDR
9	999	62.3	3	100	2	1.0	0.1	5	GDR
9	999	55.9	3	100	2	1.0	0.1	5	GDR
9	999	58.0	3	100	2	1.0	0.1	5	GDR
9	999	62.2	3	100	2	1.0	0.1	5	GDR
9	999	58.2	3	100	2	1.0	0.1	5	GDR
9	999	57.2	3	100	2	1.0	0.1	5	GDR
9	999	62.2	3	100	2	1.0	0.1	5	GDR
9	999	63.3	3	100	2	1.0	0.1	5	GDR
9	999	61.2	3	100	2	1.0	0.1	5	GDR
9	999	60.9	3	100	2	1.0	0.1	5	GDR
9	999	61.6	3	100	2	1.0	0.1	5	GDR
9	999	61.9	3	100	2	1.0	0.1	5	GDR
9	999	58.8	3	100	2	1.0	0.1	5	GDR
9	999	59.9	3	100	2	1.0	0.1	5	GDR
9	999	56.3	3	100	2	1.0	0.1	5	GDR
9	999	56.4	3	100	2	1.0	0.1	5	GDR
9	999	59.0	3	100	2	1.0	0.1	5	GDR
9	999	59.2	3	100	2	1.0	0.1	5	GDR
9	999	58.5	3	100	2	1.0	0.1	5	GDR
9	999	57.1	3	100	2	1.0	0.1	5	GDR
9	999	57.6	3	100	2	1.0	0.1	5	GDR
9	999	59.2	3	100	2	1.0	0.1	5	GDR
9	999	62.5	3	100	2	1.0	0.1	5	GDR
9	999	62.8	3	100	2	1.0	0.1	5	GDR
9	999	63.0	3	100	2	1.0	0.1	5	GDR
9	999	58.2	3	100	2	1.0	0.1	5	GDR
9	999	59.7	3	100	2	1.0	0.1	5	GDR
9	999	63.5	3	100	2	1.0	0.1	5	GDR
9	999	57.2	3	100	2	1.0	0.1	5	GDR
9	999	62.9	3	100	2	1.0	0.1	5	GDR
9	999	59.5	3	100	2	1.0	0.1	5	GDR
9	999	58.8	3	100	2	1.0	0.1	5	GDR
9	999	62.5	3	100	2	1.0	0.1	5	GDR
9	999	60.2	3	100	2	1.0	0.1	5	GDR
9	999	59.4	3	100	2	1.0	0.1	5	GDR
9	999	60.6	3	100	2	1.0	0.1	5	GDR
9	999	59.4	3	100	2	1.0	0.1	5	GDR
9	999	59.4	3	100	2	1.0	0.1	5	GDR
9	999	58.6	3	100	2	1.0	0.1	5	GDR
9	999	60.9	3	100	2	1.0	0.1	5	GDR
9	999	60.1	3	100	2	1.0	0.1	5	GDR
9	999	58.8	3	100	2	1.0	0.1	5	GDR
9	999	60.9	3	100	2	1.0	0.1	5	GDR
9	999	65.4	3	100	2	1.0	0.1	5	GDR
9	999	58.5	3	100	2	1.0	0.1	5	GDR
9	999	61.1	3	100	2	1.0	0.1	5	GDR
9	999	58.5	3	100	2	1.0	0.1	5	GDR
9	999	57.1	3	100	2	1.0	0.1	5	GDR
9	999	58.3	3	100	2	1.0	0.1	5	GDR
9	999	60.5	3	100	2	1.0	0.1	5	GDR
9	999	60.1	3	100	2	1.0	0.1	5	GDR
9	999	56.0	3	100	2	1.0	0.1	5	GDR
9	999	57.9	3	100	2	1.0	0.1	5	GDR
9	999	62.8	3	100	2	1.0	0.1	5	GDR
9	999	63.0	3	100	2	1.0	0.1	5	GDR
9	999	60.4	3	100	2	1.0	0.1	5	GDR
9	999	64.6	3	100	2	1.0	0.1	5	GDR
9	999	61.2	3	100	2	1.0	0.1	5	GDR
9	999	62.6	3	100	2	1.0	0.1	5	GDR
9	999	61.6	3	100	2	1.0	0.1	5	GDR
9	999	59.3	3	100	2	1.0	0.1	5	GDR
9	999	58.2	3	100	2	1.0	0.1	5	GDR
9	999	63.5	3	100	2	1.0	0.1	5	GDR
9	999	60.7	3	100	2	1.0	0.1	5	GDR
9	999	56.4	3	100	2	1.0	0.1	5	GDR
9	999	55.0	3	100	2	1.0	0.1	5	GDR
9	999	59.1	3	100	2	1.0	0.1	5	GDR
9	999	59.7	3	100	2	1.0	0.1	5	GDR
9	999	56.8	3	100	2	1.0	0.1	5	GDR
9	999	63.3	3	100	2	1.0	0.1	5	GDR
9	999	58.6	3	100	2	1.0	0.1	5	GDR
9	999	56.4	3	100	2	1.0	0.1	5	GDR
9	999	64.8	3	100	2	1.0	0.1	5	GDR
9	999	59.1	3	100	2	1.0	0.1	5	GDR
9	999	57.5	3	100	2	1.0	0.1	5	GDR
9	999	56.9	3	100	2	1.0	0.1	5	GDR
9	999	54.1	3	100	2	1.0	0.1	5	GDR
9	999	63.8	3	100	2	1.0	0.1	5	GDR
9	999	61.3	3	100	2	1.0	0.1	5	GDR
9	999	62.9	3	100	2	1.0	0.1	5	GDR
9	999	58.7	3	100	2	1.0	0.1	5	GDR
9	999	56.2	3	100	2	1.0	0.1	5	GDR
9	999	61.0	3	100	2	1.0	0.1	5	GDR
9	999	59.4	3	100	2	1.0	0.1	5	GDR
9	999	59.9	3	100	2	1.0	0.1	5	GDR
9	999	56.5	3	100	2	1.0	0.1	5	GDR
9	999	58.4	3	100	2	1.0	0.1	5	GDR
9	999	62.4	3	100	2	1.0	0.1	5	GDR
9	999	58.0	4	100	2	1.0	0.1	5	GDR
9	999	60.2	4	100	2	1.0	0.1	5	GDR
9	999	66.9	4	100	2	1.0	0.1	5	GDR
9	999	58.9	4	100	2	1.0	0.1	5	GDR
9	999	54.8	4	100	2	1.0	0.1	5	GDR
9	999	58.9	4	100	2	1.0	0.1	5	GDR
9	999	56.6	4	100	2	1.0	0.1	5	GDR
9	999	60.1	4	100	2	1.0	0.1	5	GDR
9	999	63.0	4	100	2	1.0	0.1	5	GDR
9	999	54.8	4	100	2	1.0	0.1	5	GDR
9	999	56.5	4	100	2	1.0	0.1	5	GDR
9	999	62.1	4	100	2	1.0	0.1	5	GDR
9	999	58.3	4	100	2	1.0	0.1	5	GDR
9	999	56.2	4	100	2	1.0	0.1	5	GDR
9	999	62.5	4	100	2	1.0	0.1	5	GDR
9	999	58.3	4	100	2	1.0	0.1	5	GDR
9	999	56.9	4	100	2	1.0	0.1	5	GDR
9	999	61.8	4	100	2	1.0	0.1	5	GDR
9	999	56.3	4	100	2	1.0	0.1	5	GDR
9	999	58.8	4	100	2	1.0	0.1	5	GDR
9	999	60.4	4	100	2	1.0	0.1	5	GDR
9	999	59.0	4	100	2	1.0	0.1	5	GDR
9	999	58.6	4	100	2	1.0	0.1	5	GDR
9	999	60.5	4	100	2	1.0	0.1	5	GDR
9	999	60.0	4	100	2	1.0	0.1	5	GDR
9	999	57.6	4	100	2	1.0	0.1	5	GDR
9	999	62.9	4	100	2	1.0	0.1	5	GDR
9	999	57.2	4	100	2	1.0	0.1	5	GDR
9	999	56.3	4	100	2	1.0	0.1	5	GDR
9	999	59.6	4	100	2	1.0	0.1	5	GDR
9	999	58.9	4	100	2	1.0	0.1	5	GDR
9	999	61.2	4	100	2	1.0	0.1	5	GDR
9	999	61.4	4	100	2	1.0	0.1	5	GDR
9	999	62.9	4	100	2	1.0	0.1	5	GDR
9	999	63.2	4	100	2	1.0	0.1	5	GDR
9	999	56.3	4	100	2	1.0	0.1	5	GDR
9	999	60.8	4	100	2	1.0	0.1	5	GDR
9	999	59.3	4	100	2	1.0	0.1	5	GDR
9	999	61.9	4	100	2	1.0	0.1	5	GDR
9	999	55.6	4	100	2	1.0	0.1	5	GDR
9	999	61.1	4	100	2	1.0	0.1	5	GDR
9	999	59.1	4	100	2	1.0	0.1	5	GDR
9	999	58.8	4	100	2	1.0	0.1	5	GDR
9	999	57.1	4	100	2	1.0	0.1	5	GDR
9	999	58.1	4	100	2	1.0	0.1	5	GDR
9	999	59.6	4	100	2	1.0	0.1	5	GDR
9	999	58.2	4	100	2	1.0	0.1	5	GDR
9	999	61.7	4	100	2	1.0	0.1	5	GDR
9	999	61.2	4	100	2	1.0	0.1	5	GDR
9	999	60.9	4	100	2	1.0	0.1	5	GDR
9	999	62.5	4	100	2	1.0	0.1	5	GDR
9	999	57.1	4	100	2	1.0	0.1	5	GDR
9	999	59.3	4	100	2	1.0	0.1	5	GDR
9	999	59.0	4	100	2	1.0	0.1	5	GDR
9	999	57.9	4	100	2	1.0	0.1	5	GDR
9	999	57.7	4	100	2	1.0	0.1	5	GDR
9	999	59.6	4	100	2	1.0	0.1	5	GDR
9	999	58.9	4	100	2	1.0	0.1	5	GDR
9	999	63.4	4	100	2	1.0	0.1	5	GDR
9	999	59.9	4	100	2	1.0	0.1	5	GDR
9	999	61.8	4	100	2	1.0	0.1	5	GDR
9	999	60.0	4	100	2	1.0	0.1	5	GDR
9	999	61.3	4	100	2	1.0	0.1	5	GDR
9	999	60.4	4	100	2	1.0	0.1	5	GDR
9	999	59.2	4	100	2	1.0	0.1	5	GDR
9	999	57.8	4	100	2	1.0	0.1	5	GDR
9	999	62.7	4	100	2	1.0	0.1	5	GDR
9	999	58.7	4	100	2	1.0	0.1	5	GDR
9	999	56.8	4	100	2	1.0	0.1	5	GDR
9	999	59.5	4	100	2	1.0	0.1	5	GDR
9	999	57.8	4	100	2	1.0	0.1	5	GDR
9	999	59.9	4	100	2	1.0	0.1	5	GDR
9	999	56.8	4	100	2	1.0	0.1	5	GDR
9	999	56.6	4	100	2	1.0	0.1	5	GDR
9	999	60.2	4	100	2	1.0	0.1	5	GDR
9	999	60.5	4	100	2	1.0	0.1	5	GDR
9	999	58.8	4	100	2	1.0	0.1	5	GDR
9	999	64.1	4	100	2	1.0	0.1	5	GDR
9	999	61.5	4	100	2	1.0	0.1	5	GDR
9	999	59.4	4	100	2	1.0	0.1	5	GDR
9	999	63.3	4	100	2	1.0	0.1	5	GDR
9	999	63.5	4	100	2	1.0	0.1	5	GDR
9	999	60.8	4	100	2	1.0	0.1	5	GDR
9	999	63.2	4	100	2	1.0	0.1	5	GDR
9	999	58.8	4	100	2	1.0	0.1	5	GDR
9	999	58.4	4	100	2	1.0	0.1	5	GDR
9	999	56.7	4	100	2	1.0	0.1	5	GDR
9	999	61.1	4	100	2	1.0	0.1	5	GDR
9	999	59.5	4	100	2	1.0	0.1	5	GDR
9	999	60.9	4	100	2	1.0	0.1	5	GDR
9	999	61.9	4	100	2	1.0	0.1	5	GDR
9	999	65.9	4	100	2	1.0	0.1	5	GDR
9	999	58.4	4	100	2	1.0	0.1	5	GDR
9	999	62.7	4	100	2	1.0	0.1	5	GDR
9	999	57.3	4	100	2	1.0	0.1	5	GDR
9	999	60.7	4	100	2	1.0	0.1	5	GDR
9	999	57.6	4	100	2	1.0	0.1	5	GDR
9	999	60.1	4	100	2	1.0	0.1	5	GDR
9	999	59.8	4	100	2	1.0	0.1	5	GDR
9	999	60.4	4	100	2	1.0	0.1	5	GDR
9	999	58.3	5	100	2	1.0	0.1	5	GDR
9	999	56.4	5	100	2	1.0	0.1	5	GDR
9	999	58.1	5	100	2	1.0	0.1	5	GDR
9	999	60.7	5	100	2	1.0	0.1	5	GDR
9	999	61.2	5	100	2	1.0	0.1	5	GDR
9	999	62.2	5	100	2	1.0	0.1	5	GDR
9	999	58.6	5	100	2	1.0	0.1	5	GDR
9	999	60.7	5	100	2	1.0	0.1	5	GDR
9	999	60.6	5	100	2	1.0	0.1	5	GDR
9	999	61.5	5	100	2	1.0	0.1	5	GDR
9	999	57.8	5	100	2	1.0	0.1	5	GDR
9	999	59.7	5	100	2	1.0	0.1	5	GDR
9	999	58.8	5	100	2	1.0	0.1	5	GDR
9	999	65.1	5	100	2	1.0	0.1	5	GDR
9	999	60.6	5	100	2	1.0	0.1	5	GDR
9	999	61.7	5	100	2	1.0	0.1	5	GDR
9	999	63.9	5	100	2	1.0	0.1	5	GDR
9	999	63.0	5	100	2	1.0	0.1	5	GDR
9	999	58.6	5	100	2	1.0	0.1	5	GDR
9	999	61.7	5	100	2	1.0	0.1	5	GDR
9	999	60.9	5	100	2	1.0	0.1	5	GDR
9	999	56.1	5	100	2	1.0	0.1	5	GDR
9	999	61.1	5	100	2	1.0	0.1	5	GDR
9	999	60.9	5	100	2	1.0	0.1	5	GDR
9	999	61.4	5	100	2	1.0	0.1	5	GDR
9	999	63.9	5	100	2	1.0	0.1	5	GDR
9	999	61.1	5	100	2	1.0	0.1	5	GDR
9	999	60.3	5	100	2	1.0	0.1	5	GDR
9	999	59.0	5	100	2	1.0	0.1	5	GDR
9	999	60.7	5	100	2	1.0	0.1	5	GDR
9	999	56.6	5	100	2	1.0	0.1	5	GDR
9	999	57.7	5	100	2	1.0	0.1	5	GDR
9	999	61.7	5	100	2	1.0	0.1	5	GDR
9	999	59.3	5	100	2	1.0	0.1	5	GDR
9	999	56.6	5	100	2	1.0	0.1	5	GDR
9	999	61.3	5	100	2	1.0	0.1	5	GDR
9	999	59.1	5	100	2	1.0	0.1	5	GDR
9	999	64.2	5	100	2	1.0	0.1	5	GDR
9	999	60.6	5	100	2	1.0	0.1	5	GDR
9	999	61.0	5	100	2	1.0	0.1	5	GDR
9	999	58.5	5	100	2	1.0	0.1	5	GDR
9	999	59.8	5	100	2	1.0	0.1	5	GDR
9	999	60.0	5	100	2	1.0	0.1	5	GDR
9	999	57.2	5	100	2	1.0	0.1	5	GDR
9	999	56.3	5	100	2	1.0	0.1	5	GDR
9	999	56.1	5	100	2	1.0	0.1	5	GDR
9	999	58.7	5	100	2	1.0	0.1	5	GDR
9	999	60.6	5	100	2	1.0	0.1	5	GDR
9	999	61.2	5	100	2	1.0	0.1	5	GDR
9	999	61.0	5	100	2	1.0	0.1	5	GDR
9	999	64.2	5	100	2	1.0	0.1	5	GDR
9	999	58.4	5	100	2	1.0	0.1	5	GDR
9	999	57.2	5	100	2	1.0	0.1	5	GDR
9	999	58.3	5	100	2	1.0	0.1	5	GDR
9	999	60.1	5	100	2	1.0	0.1	5	GDR
9	999	59.7	5	100	2	1.0	0.1	5	GDR
9	999	58.9	5	100	2	1.0	0.1	5	GDR
9	999	60.6	5	100	2	1.0	0.1	5	GDR
9	999	59.0	5	100	2	1.0	0.1	5	GDR
9	999	61.3	5	100	2	1.0	0.1	5	GDR
9	999	59.6	5	100	2	1.0	0.1	5	GDR
9	999	60.7	5	100	2	1.0	0.1	5	GDR
9	999	57.1	5	100	2	1.0	0.1	5	GDR
9	999	58.7	5	100	2	1.0	0.1	5	GDR
9	999	59.5	5	100	2	1.0	0.1	5	GDR
9	999	58.0	5	100	2	1.0	0.1	5	GDR
9	999	58.2	5	100	2	1.0	0.1	5	GDR
9	999	57.7	5	100	2	1.0	0.1	5	GDR
9	999	64.0	5	100	2	1.0	0.1	5	GDR
9	999	65.5	5	100	2	1.0	0.1	5	GDR
9	999	59.0	5	100	2	1.0	0.1	5	GDR
9	999	64.9	5	100	2	1.0	0.1	5	GDR
9	999	64.5	5	100	2	1.0	0.1	5	GDR
9	999	53.9	5	100	2	1.0	0.1	5	GDR
9	999	61.3	5	100	2	1.0	0.1	5	GDR
9	999	62.8	5	100	2	1.0	0.1	5	GDR
9	999	58.6	5	100	2	1.0	0.1	5	GDR
9	999	60.7	5	100	2	1.0	0.1	5	GDR
9	999	60.8	5	100	2	1.0	0.1	5	GDR
9	999	61.2	5	100	2	1.0	0.1	5	GDR
9	999	56.2	5	100	2	1.0	0.1	5	GDR
9	999	63.9	5	100	2	1.0	0.1	5	GDR
9	999	58.4	5	100	2	1.0	0.1	5	GDR
9	999	59.5	5	100	2	1.0	0.1	5	GDR
9	999	58.6	5	100	2	1.0	0.1	5	GDR
9	999	58.3	5	100	2	1.0	0.1	5	GDR
9	999	62.4	5	100	2	1.0	0.1	5	GDR
9	999	61.4	5	100	2	1.0	0.1	5	GDR
9	999	60.6	5	100	2	1.0	0.1	5	GDR
9	999	58.4	5	100	2	1.0	0.1	5	GDR
9	999	57.3	5	100	2	1.0	0.1	5	GDR
9	999	59.7	5	100	2	1.0	0.1	5	GDR
9	999	57.1	5	100	2	1.0	0.1	5	GDR
9	999	59.4	5	100	2	1.0	0.1	5	GDR
9	999	58.1	5	100	2	1.0	0.1	5	GDR
9	999	58.4	5	100	2	1.0	0.1	5	GDR
9	999	62.9	5	100	2	1.0	0.1	5	GDR
9	999	57.9	5	100	2	1.0	0.1	5	GDR
9	999	59.0	5	100	2	1.0	0.1	5	GDR
9	999	57.1	5	100	2	1.0	0.1	5	GDR
9	999	58.3	6	100	2	1.0	0.1	5	GDR
9	999	56.5	6	100	2	1.0	0.1	5	GDR
9	999	59.8	6	100	2	1.0	0.1	5	GDR
9	999	60.9	6	100	2	1.0	0.1	5	GDR
9	999	57.5	6	100	2	1.0	0.1	5	GDR
9	999	60.6	6	100	2	1.0	0.1	5	GDR
9	999	57.7	6	100	2	1.0	0.1	5	GDR
9	999	58.7	6	100	2	1.0	0.1	5	GDR
9	999	57.8	6	100	2	1.0	0.1	5	GDR
9	999	57.5	6	100	2	1.0	0.1	5	GDR
9	999	59.8	6	100	2	1.0	0.1	5	GDR
9	999	64.2	6	100	2	1.0	0.1	5	GDR
9	999	60.4	6	100	2	1.0	0.1	5	GDR
9	999	60.5	6	100	2	1.0	0.1	5	GDR
9	999	57.0	6	100	2	1.0	0.1	5	GDR
9	999	59.8	6	100	2	1.0	0.1	5	GDR
9	999	61.2	6	100	2	1.0	0.1	5	GDR
9	999	59.7	6	100	2	1.0	0.1	5	GDR
9	999	57.0	6	100	2	1.0	0.1	5	GDR
9	999	63.2	6	100	2	1.0	0.1	5	GDR
9	999	59.5	6	100	2	1.0	0.1	5	GDR
9	999	56.2	6	100	2	1.0	0.1	5	GDR
9	999	60.9	6	100	2	1.0	0.1	5	GDR
9	999	62.8	6	100	2	1.0	0.1	5	GDR
9	999	61.7	6	100	2	1.0	0.1	5	GDR
9	999	59.5	6	100	2	1.0	0.1	5	GDR
9	999	55.9	6	100	2	1.0	0.1	5	GDR
9	999	58.9	6	100	2	1.0	0.1	5	GDR
9	999	58.3	6	100	2	1.0	0.1	5	GDR
9	999	58.6	6	100	2	1.0	0.1	5	GDR
9	999	58.3	6	100	2	1.0	0.1	5	GDR
9	999	62.1	6	100	2	1.0	0.1	5	GDR
9	999	55.5	6	100	2	1.0	0.1	5	GDR
9	999	57.2	6	100	2	1.0	0.1	5	GDR
9	999	58.8	6	100	2	1.0	0.1	5	GDR
9	999	59.7	6	100	2	1.0	0.1	5	GDR
9	999	60.0	6	100	2	1.0	0.1	5	GDR
9	999	57.0	6	100	2	1.0	0.1	5	GDR
9	999	62.3	6	100	2	1.0	0.1	5	GDR
9	999	61.3	6	100	2	1.0	0.1	5	GDR
9	999	57.5	6	100	2	1.0	0.1	5	GDR
9	999	58.7	6	100	2	1.0	0.1	5	GDR
9	999	61.5	6	100	2	1.0	0.1	5	GDR
9	999	58.1	6	100	2	1.0	0.1	5	GDR
9	999	56.9	6	100	2	1.0	0.1	5	GDR
9	999	59.3	6	100	2	1.0	0.1	5	GDR
9	999	58.5	6	100	2	1.0	0.1	5	GDR
9	999	59.5	6	100	2	1.0	0.1	5	GDR
9	999	60.7	6	100	2	1.0	0.1	5	GDR
9	999	59.5	6	100	2	1.0	0.1	5	GDR
9	999	59.9	6	100	2	1.0	0.1	5	GDR
9	999	56.2	6	100	2	1.0	0.1	5	GDR
9	999	55.6	6	100	2	1.0	0.1	5	GDR
9	999	63.0	6	100	2	1.0	0.1	5	GDR
9	999	62.5	6	100	2	1.0	0.1	5	GDR
9	999	60.7	6	100	2	1.0	0.1	5	GDR
9	999	58.9	6	100	2	1.0	0.1	5	GDR
9	999	60.3	6	100	2	1.0	0.1	5	GDR
9	999	59.2	6	100	2	1.0	0.1	5	GDR
9	999	60.9	6	100	2	1.0	0.1	5	GDR
9	999	57.7	6	100	2	1.0	0.1	5	GDR
9	999	61.8	6	100	2	1.0	0.1	5	GDR
9	999	65.3	6	100	2	1.0	0.1	5	GDR
9	999	57.8	6	100	2	1.0	0.1	5	GDR
9	999	58.9	6	100	2	1.0	0.1	5	GDR
9	999	59.7	6	100	2	1.0	0.1	5	GDR
9	999	56.0	6	100	2	1.0	0.1	5	GDR
9	999	62.9	6	100	2	1.0	0.1	5	GDR
9	999	60.1	6	100	2	1.0	0.1	5	GDR
9	999	59.4	6	100	2	1.0	0.1	5	GDR
9	999	57.9	6	100	2	1.0	0.1	5	GDR
9	999	56.9	6	100	2	1.0	0.1	5	GDR
9	999	60.7	6	100	2	1.0	0.1	5	GDR
9	999	56.9	6	100	2	1.0	0.1	5	GDR
9	999	60.1	6	100	2	1.0	0.1	5	GDR
9	999	61.2	6	100	2	1.0	0.1	5	GDR
9	999	59.5	6	100	2	1.0	0.1	5	GDR
9	999	56.8	6	100	2	1.0	0.1	5	GDR
9	999	58.1	6	100	2	1.0	0.1	5	GDR
9	999	56.0	6	100	2	1.0	0.1	5	GDR
9	999	58.5	6	100	2	1.0	0.1	5	GDR
9	999	58.7	6	100	2	1.0	0.1	5	GDR
9	999	58.0	6	100	2	1.0	0.1	5	GDR
9	999	57.1	6	100	2	1.0	0.1	5	GDR
9	999	56.2	6	100	2	1.0	0.1	5	GDR
9	999	62.0	6	100	2	1.0	0.1	5	GDR
9	999	58.8	6	100	2	1.0	0.1	5	GDR
9	999	60.7	6	100	2	1.0	0.1	5	GDR
9	999	59.7	6	100	2	1.0	0.1	5	GDR
9	999	54.5	6	100	2	1.0	0.1	5	GDR
9	999	57.7	6	100	2	1.0	0.1	5	GDR
9	999	58.1	6	100	2	1.0	0.1	5	GDR
9	999	61.1	6	100	2	1.0	0.1	5	GDR
9	999	59.8	6	100	2	1.0	0.1	5	GDR
9	999	57.0	6	100	2	1.0	0.1	5	GDR
9	999	59.0	6	100	2	1.0	0.1	5	GDR
9	999	63.1	6	100	2	1.0	0.1	5	GDR
9	999	59.7	6	100	2	1.0	0.1	5	GDR
9	999	58.5	6	100	2	1.0	0.1	5	GDR
9	999	59.3	6	100	2	1.0	0.1	5	GDR
9	999	60.6	7	100	2	1.0	0.1	5	GDR
9	999	54.7	7	100	2	1.0	0.1	5	GDR
9	999	57.3	7	100	2	1.0	0.1	5	GDR
9	999	60.8	7	100	2	1.0	0.1	5	GDR
9	999	59.4	7	100	2	1.0	0.1	5	GDR
9	999	58.1	7	100	2	1.0	0.1	5	GDR
9	999	58.2	7	100	2	1.0	0.1	5	GDR
9	999	65.6	7	100	2	1.0	0.1	5	GDR
9	999	59.1	7	100	2	1.0	0.1	5	GDR
9	999	62.5	7	100	2	1.0	0.1	5	GDR
9	999	59.7	7	100	2	1.0	0.1	5	GDR
9	999	57.4	7	100	2	1.0	0.1	5	GDR
