tw	tg	b	h	lambda	k	chi	range	prec	type
9	999	5.4	4	10	2	1.0	0.1	5	GDR
9	999	6.4	4	10	2	1.0	0.1	5	GDR
9	999	5.5	4	10	2	1.0	0.1	5	GDR
9	999	4.6	4	10	2	1.0	0.1	5	GDR
9	999	5.8	4	10	2	1.0	0.1	5	GDR
9	999	5.0	4	10	2	1.0	0.1	5	GDR
9	999	5.7	4	10	2	1.0	0.1	5	GDR
9	999	4.0	4	10	2	1.0	0.1	5	GDR
9	999	4.3	4	10	2	1.0	0.1	5	GDR
9	999	5.7	4	10	2	1.0	0.1	5	GDR
9	999	5.8	4	10	2	1.0	0.1	5	GDR
9	999	4.5	4	10	2	1.0	0.1	5	GDR
9	999	5.0	4	10	2	1.0	0.1	5	GDR
9	999	3.9	4	10	2	1.0	0.1	5	GDR
9	999	6.9	4	10	2	1.0	0.1	5	GDR
9	999	6.1	4	10	2	1.0	0.1	5	GDR
9	999	4.3	4	10	2	1.0	0.1	5	GDR
9	999	5.8	4	10	2	1.0	0.1	5	GDR
9	999	4.6	4	10	2	1.0	0.1	5	GDR
9	999	6.0	4	10	2	1.0	0.1	5	GDR
9	999	5.8	4	10	2	1.0	0.1	5	GDR
9	999	7.1	4	10	2	1.0	0.1	5	GDR
9	999	5.5	4	10	2	1.0	0.1	5	GDR
9	999	5.4	4	10	2	1.0	0.1	5	GDR
9	999	5.8	4	10	2	1.0	0.1	5	GDR
9	999	6.7	4	10	2	1.0	0.1	5	GDR
9	999	6.4	4	10	2	1.0	0.1	5	GDR
9	999	5.5	4	10	2	1.0	0.1	5	GDR
9	999	5.3	4	10	2	1.0	0.1	5	GDR
9	999	5.5	4	10	2	1.0	0.1	5	GDR
9	999	4.0	4	10	2	1.0	0.1	5	GDR
9	999	5.3	4	10	2	1.0	0.1	5	GDR
9	999	4.6	4	10	2	1.0	0.1	5	GDR
9	999	6.2	4	10	2	1.0	0.1	5	GDR
9	999	6.5	4	10	2	1.0	0.1	5	GDR
9	999	5.6	4	10	2	1.0	0.1	5	GDR
9	999	4.9	4	10	2	1.0	0.1	5	GDR
9	999	6.3	4	10	2	1.0	0.1	5	GDR
9	999	6.1	4	10	2	1.0	0.1	5	GDR
9	999	3.3	4	10	2	1.0	0.1	5	GDR
9	999	6.2	4	10	2	1.0	0.1	5	GDR
9	999	6.9	4	10	2	1.0	0.1	5	GDR
9	999	5.0	4	10	2	1.0	0.1	5	GDR
9	999	4.3	4	10	2	1.0	0.1	5	GDR
9	999	6.8	4	10	2	1.0	0.1	5	GDR
9	999	4.7	4	10	2	1.0	0.1	5	GDR
9	999	5.3	4	10	2	1.0	0.1	5	GDR
9	999	7.1	4	10	2	1.0	0.1	5	GDR
9	999	4.6	4	10	2	1.0	0.1	5	GDR
9	999	4.6	4	10	2	1.0	0.1	5	GDR
9	999	5.3	4	10	2	1.0	0.1	5	GDR
9	999	4.2	4	10	2	1.0	0.1	5	GDR
9	999	6.8	4	10	2	1.0	0.1	5	GDR
9	999	5.3	4	10	2	1.0	0.1	5	GDR
9	999	6.0	4	10	2	1.0	0.1	5	GDR
9	999	4.4	4	10	2	1.0	0.1	5	GDR
9	999	5.0	4	10	2	1.0	0.1	5	GDR
9	999	5.2	4	10	2	1.0	0.1	5	GDR
9	999	5.9	4	10	2	1.0	0.1	5	GDR
9	999	5.4	4	10	2	1.0	0.1	5	GDR
9	999	5.0	4	10	2	1.0	0.1	5	GDR
9	999	5.1	4	10	2	1.0	0.1	5	GDR
9	999	6.2	4	10	2	1.0	0.1	5	GDR
9	999	5.1	4	10	2	1.0	0.1	5	GDR
9	999	6.7	4	10	2	1.0	0.1	5	GDR
9	999	5.1	4	10	2	1.0	0.1	5	GDR
9	999	5.1	4	10	2	1.0	0.1	5	GDR
9	999	5.7	4	10	2	1.0	0.1	5	GDR
9	999	6.8	4	10	2	1.0	0.1	5	GDR
9	999	5.0	4	10	2	1.0	0.1	5	GDR
9	999	6.0	4	10	2	1.0	0.1	5	GDR
9	999	6.9	4	10	2	1.0	0.1	5	GDR
9	999	5.5	4	10	2	1.0	0.1	5	GDR
9	999	5.9	4	10	2	1.0	0.1	5	GDR
9	999	6.9	4	10	2	1.0	0.1	5	GDR
9	999	5.5	4	10	2	1.0	0.1	5	GDR
9	999	6.3	4	10	2	1.0	0.1	5	GDR
9	999	4.5	4	10	2	1.0	0.1	5	GDR
9	999	7.0	4	10	2	1.0	0.1	5	GDR
9	999	6.9	4	10	2	1.0	0.1	5	GDR
9	999	4.1	4	10	2	1.0	0.1	5	GDR
9	999	5.6	4	10	2	1.0	0.1	5	GDR
9	999	6.3	4	10	2	1.0	0.1	5	GDR
9	999	7.0	4	10	2	1.0	0.1	5	GDR
9	999	2.9	4	10	2	1.0	0.1	5	GDR
9	999	4.2	4	10	2	1.0	0.1	5	GDR
9	999	6.5	4	10	2	1.0	0.1	5	GDR
9	999	6.6	4	10	2	1.0	0.1	5	GDR
9	999	4.5	4	10	2	1.0	0.1	5	GDR
9	999	6.1	4	10	2	1.0	0.1	5	GDR
9	999	5.8	4	10	2	1.0	0.1	5	GDR
9	999	4.9	4	10	2	1.0	0.1	5	GDR
9	999	6.4	4	10	2	1.0	0.1	5	GDR
9	999	3.4	4	10	2	1.0	0.1	5	GDR
9	999	4.9	4	10	2	1.0	0.1	5	GDR
9	999	4.2	4	10	2	1.0	0.1	5	GDR
9	999	4.5	4	10	2	1.0	0.1	5	GDR
9	999	4.8	4	10	2	1.0	0.1	5	GDR
9	999	5.1	4	10	2	1.0	0.1	5	GDR
9	999	4.4	4	10	2	1.0	0.1	5	GDR
9	999	62.1	4	110	2	1.0	0.1	5	GDR
9	999	65.9	4	110	2	1.0	0.1	5	GDR
9	999	67.0	4	110	2	1.0	0.1	5	GDR
9	999	64.4	4	110	2	1.0	0.1	5	GDR
9	999	62.1	4	110	2	1.0	0.1	5	GDR
