n	chi	lambda	k	t	fbest
15	0.6	100	2	3	15
15	0.6	100	2	3	15
15	0.6	100	2	5	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	3	15
15	0.6	100	2	5	15
15	0.6	100	2	4	15
15	0.6	100	2	1	15
15	0.6	100	2	1	15
15	0.6	100	2	4	15
15	0.6	100	2	2	15
15	0.6	100	2	3	15
15	0.6	100	2	1	15
15	0.6	100	2	4	15
15	0.6	100	2	5	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	5	15
15	0.6	100	2	3	15
15	0.6	100	2	3	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	3	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	5	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	5	15
15	0.6	100	2	3	15
15	0.6	100	2	3	15
15	0.6	100	2	3	15
15	0.6	100	2	3	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	2	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	2	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	2	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	3	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	3	15
15	0.6	100	2	5	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	1	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	3	15
15	0.6	100	2	5	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	3	15
15	0.6	100	2	2	15
15	0.6	100	2	2	15
15	0.6	100	2	4	15
15	0.6	100	2	2	15
15	0.6	100	2	5	15
15	0.6	100	2	3	15
15	0.6	100	2	3	15
15	0.6	100	2	2	15
15	0.6	100	2	3	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
15	0.6	100	2	4	15
15	0.6	100	2	3	15
